sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fv5,Fv6,Fv7,Fv8,Fv9
Fc0C1Fc1C1Fc3C2LPS8,P,C3,C0,C5,C0,C2,0,3,0,3,0
Fc0C1Fc1C1Fc3C2LPS10,R,C5,C1,C2,C1,C2,0,0,7,0,0
Fc0C1Fc1C1Fc3C2LPS12,P,C2,C0,C3,C5,C2,0,0,0,6,0
Fc0C1Fc1C1Fc3C2LPS13,R,C3,C1,C3,C0,C0,0,7,0,3,8
Fc0C1Fc1C1Fc3C2LPS14,T,C2,C4,C3,C3,C0,0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS15,Q,C0,C0,C3,C0,C3,0,3,4,4,1
Fc0C1Fc1C1Fc3C2LPS16,P,C0,C0,C1,C2,C3,0,3,6,0,4
Fc0C1Fc1C1Fc3C2LPS17,Q,C1,C3,C0,C3,C0,0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS18,Q,C1,C3,C2,C1,C6,0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS19,S,C6,C0,C1,C0,C1,3,6,3,6,0
Fc0C1Fc1C1Fc3C2LPS20,Q,C2,C2,C2,C0,C1,0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS21,Q,C1,C2,C2,C0,C2,0,0,0,0,9
Fc0C1Fc1C1Fc3C2LPS22,Q,C1,C0,C1,C1,C0,0,0,7,8,0
Fc0C1Fc1C1Fc3C2LPS23,Q,C1,C0,C0,C0,C0,0,0,0,8,0
Fc0C1Fc1C1Fc3C2LPS24,P,C0,C3,C0,C1,C0,0,0,6,0,0
Fc0C1Fc1C1Fc3C2LPS25,T,C3,C7,C1,C7,C1,0,9,0,0,7
Fc0C1Fc1C1Fc3C2LPS26,P,C0,C3,C2,C0,C0,6,6,0,0,0
Fc0C1Fc1C1Fc3C2LPS27,P,C1,C1,C0,C4,C9,0,0,6,0,0
Fc0C1Fc1C1Fc3C2LPS28,P,C2,C0,C0,C5,C0,0,6,6,0,0
Fc0C1Fc1C1Fc3C2LPS29,Q,C0,C3,C3,C0,C0,8,3,5,0,0
Fc0C1Fc1C1Fc3C2LPS30,Q,C2,C9,C3,C3,C1,7,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS31,P,C1,C0,C2,C2,C1,0,0,2,6,0
Fc0C1Fc1C1Fc3C3LQS7,P,C1,C8,C0,C0,C0,0,0,4,7,0
Fc0C1Fc1C1Fc3C3LQS8,P,C0,C0,C6,C3,C3,0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS9,R,C0,C0,C1,C2,C0,0,5,0,0,0
Fc0C1Fc1C1Fc3C3LQS11,P,C0,C0,C0,C0,C0,0,3,0,2,6
Fc0C1Fc1C1Fc3C3LQS13,R,C2,C1,C2,C2,C2,0,0,9,0,0
Fc0C1Fc1C1Fc3C3LQS14,Q,C2,C0,C7,C2,C0,8,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS15,P,C1,C0,C0,C0,C0,0,0,0,4,0
Fc0C1Fc1C1Fc3C3LQS16,Q,C3,C1,C2,C2,C0,0,0,8,0,0
Fc0C1Fc1C1Fc3C3LQS17,T,C1,C8,C7,C0,C9,5,0,0,0,8
Fc0C1Fc1C1Fc3C3LQS19,P,C0,C0,C0,C1,C3,0,0,8,0,0
Fc0C1Fc1C1Fc3C3LQS20,V,C3,C2,C5,C0,C0,0,2,7,5,0
Fc0C1Fc1C1Fc3C3LQS21,Q,C0,C0,C2,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS22,S,C3,C3,C0,C3,C0,0,8,0,0,0
Fc0C1Fc1C1Fc3C3LQS23,Q,C0,C8,C2,C1,C1,0,0,3,0,0
Fc0C1Fc1C1Fc3C3LQS24,R,C1,C1,C0,C0,C0,1,0,6,7,0
Fc0C1Fc1C1Fc3C3LQS25,P,C8,C8,C1,C4,C4,2,5,0,0,0
Fc0C1Fc1C1Fc3C3LQS26,R,C3,C0,C6,C3,C3,3,0,0,5,0
Fc0C1Fc1C1Fc3C3LQS27,Q,C1,C8,C0,C0,C1,0,0,0,8,0
Fc0C1Fc1C1Fc3C3LQS28,Q,C0,C2,C0,C0,C1,0,7,9,0,0
Fc0C1Fc1C1Fc3C3LQS29,T,C0,C9,C7,C0,C1,0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS30,T,C0,C2,C2,C0,C3,0,0,0,0,4
Fc0C1Fc1C1Fc3C3LQS31,P,C2,C2,C0,C2,C0,8,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS7,R,C1,C0,C2,C2,C4,0,9,1,5,0
Fc0C1Fc1C1Fc4C1LRS8,R,C0,C3,C0,C1,C2,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS9,V,C0,C0,C0,C0,C2,0,1,3,6,0
Fc0C1Fc1C1Fc4C1LRS10,R,C0,C0,C3,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS11,Q,C0,C0,C2,C2,C5,9,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS12,S,C1,C3,C3,C5,C9,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS14,P,C0,C1,C2,C3,C4,0,0,0,4,0
Fc0C1Fc1C1Fc4C1LRS15,R,C0,C3,C2,C1,C1,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS16,V,C0,C0,C3,C2,C0,0,0,5,3,0
Fc0C1Fc1C1Fc4C1LRS17,P,C0,C0,C0,C1,C2,8,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS18,Q,C0,C3,C5,C3,C3,0,0,0,8,0
Fc0C1Fc1C1Fc4C1LRS19,P,C3,C3,C3,C3,C2,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS20,T,C1,C3,C0,C3,C1,0,0,0,9,0
Fc0C1Fc1C1Fc4C1LRS21,P,C3,C0,C0,C2,C0,0,0,0,5,0
Fc0C1Fc1C1Fc4C1LRS22,V,C0,C0,C2,C0,C2,0,5,0,0,0
Fc0C1Fc1C1Fc4C1LRS24,Q,C3,C3,C0,C8,C3,0,5,0,0,0
Fc0C1Fc1C1Fc4C1LRS25,P,C7,C1,C0,C0,C3,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS26,Q,C0,C2,C2,C0,C0,0,3,0,0,0
Fc0C1Fc1C1Fc4C1LRS27,T,C4,C3,C1,C3,C0,7,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS28,P,C2,C3,C2,C3,C1,0,4,0,0,0
Fc0C1Fc1C1Fc4C1LRS29,R,C1,C0,C3,C0,C3,6,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS31,P,C0,C0,C3,C3,C1,5,0,0,8,0
Fc0C1Fc1C1Fc4C2LSS7,Q,C3,C3,C0,C1,C3,4,0,0,0,7
Fc0C1Fc1C1Fc4C2LSS8,Q,C3,C1,C0,C3,C0,7,0,0,3,0
Fc0C1Fc1C1Fc4C2LSS9,Q,C0,C4,C1,C0,C0,0,7,1,6,4
Fc0C1Fc1C1Fc4C2LSS10,Q,C1,C0,C3,C2,C1,0,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS11,P,C0,C0,C3,C3,C0,0,0,0,0,6
Fc0C1Fc1C1Fc4C2LSS13,P,C0,C2,C8,C5,C3,0,0,0,8,4
Fc0C1Fc1C1Fc4C2LSS14,Q,C1,C1,C2,C2,C0,0,8,2,0,7
Fc0C1Fc1C1Fc4C2LSS15,R,C1,C1,C1,C1,C3,0,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS16,T,C0,C1,C3,C7,C0,1,0,5,3,0
Fc0C1Fc1C1Fc4C2LSS17,Q,C3,C2,C0,C3,C0,5,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS19,S,C2,C1,C0,C2,C2,0,8,1,5,0
Fc0C1Fc1C1Fc4C2LSS20,P,C2,C2,C3,C9,C3,0,0,0,6,0
Fc0C1Fc1C1Fc4C2LSS21,R,C0,C0,C2,C2,C0,4,0,4,0,0
Fc0C1Fc1C1Fc4C2LSS22,R,C3,C8,C9,C3,C2,5,5,1,3,0
Fc0C1Fc1C1Fc4C2LSS23,R,C0,C3,C7,C3,C2,0,0,0,8,0
Fc0C1Fc1C1Fc4C2LSS24,S,C3,C3,C2,C1,C0,0,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS25,Q,C5,C0,C0,C1,C0,0,2,0,0,4
Fc0C1Fc1C1Fc4C2LSS26,Q,C1,C0,C1,C1,C0,0,0,7,0,0
Fc0C1Fc1C1Fc4C2LSS27,S,C1,C3,C0,C7,C0,0,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS28,P,C0,C2,C0,C0,C0,4,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS29,T,C2,C0,C3,C1,C0,7,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS31,S,C0,C0,C0,C0,C0,0,8,0,0,0
Fc0C1Fc1C1Fc4C3LTS8,Q,C0,C0,C1,C2,C0,0,0,5,0,0
Fc0C1Fc1C1Fc4C3LTS9,Q,C1,C0,C3,C0,C3,6,0,0,0,0
Fc0C1Fc1C1Fc4C3LTS10,Q,C2,C0,C2,C1,C3,5,0,3,0,4
Fc0C1Fc1C1Fc4C3LTS11,Q,C0,C1,C3,C2,C1,4,0,0,9,0
Fc0C1Fc1C1Fc4C3LTS12,Q,C0,C0,C3,C1,C0,0,0,0,8,0
Fc0C1Fc1C1Fc4C3LTS13,P,C2,C0,C0,C2,C3,0,4,0,7,7
Fc0C1Fc1C1Fc4C3LTS14,T,C0,C0,C0,C1,C2,0,0,4,0,0
Fc0C1Fc1C1Fc4C3LTS16,P,C1,C2,C0,C1,C0,0,7,0,0,0
Fc0C1Fc1C1Fc4C3LTS17,R,C3,C2,C0,C1,C0,0,0,0,3,6
Fc0C1Fc1C1Fc4C3LTS18,S,C1,C0,C5,C4,C1,0,0,6,0,0
Fc0C1Fc1C1Fc4C3LTS20,Q,C5,C8,C0,C3,C3,0,0,0,0,0
Fc0C1Fc1C1Fc4C3LTS22,Q,C1,C0,C7,C3,C0,0,1,5,3,0
Fc0C1Fc1C1Fc4C3LTS23,R,C3,C2,C0,C1,C0,0,0,0,0,4
Fc0C1Fc1C1Fc4C3LTS24,Q,C8,C1,C9,C3,C0,0,0,4,0,0
Fc0C1Fc1C1Fc4C3LTS25,Q,C1,C0,C2,C1,C0,3,3,0,0,0
Fc0C1Fc1C1Fc4C3LTS27,T,C3,C0,C0,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc4C3LTS28,T,C1,C1,C1,C1,C3,0,5,0,0,0
Fc0C1Fc1C1Fc4C3LTS29,T,C2,C2,C3,C3,C0,0,3,0,0,0
Fc0C1Fc1C1Fc4C3LTS30,T,C0,C0,C2,C6,C0,0,0,0,0,4
Fc0C1Fc1C1Fc4C3LTS31,T,C2,C1,C2,C4,C1,7,1,2,0,0
Fc0C1Fc1C1Fv5V1LPS7,Q,C0,C0,C8,C0,C1,0,3,1,7,0
Fc0C1Fc1C1Fv5V1LPS8,S,C0,C9,C0,C2,C0,1,0,0,0,0
Fc0C1Fc1C1Fv5V1LPS9,Q,C2,C2,C1,C5,C3,1,0,5,0,0
Fc0C1Fc1C1Fv5V1LPS10,V,C2,C2,C0,C1,C9,2,4,0,4,1
Fc0C1Fc1C1Fv5V1LPS11,R,C4,C0,C6,C9,C2,0,0,0,0,0
Fc0C1Fc1C1Fv5V1LPS12,R,C2,C0,C0,C9,C0,1,8,0,0,0
Fc0C1Fc1C1Fv5V1LPS13,R,C3,C5,C3,C0,C0,3,5,0,0,8
Fc0C1Fc1C1Fv5V1LPS14,T,C3,C2,C0,C0,C0,1,4,3,0,0
Fc0C1Fc1C1Fv5V1LPS15,P,C0,C4,C1,C3,C0,1,8,0,4,3
Fc0C1Fc1C1Fv5V1LPS16,V,C8,C0,C2,C0,C3,1,0,0,0,0
Fc0C1Fc1C1Fv5V1LPS18,S,C1,C4,C5,C1,C2,1,0,8,0,0
Fc0C1Fc1C1Fv5V1LPS19,P,C0,C0,C0,C9,C0,1,9,0,0,0
Fc0C1Fc1C1Fv5V1LPS20,R,C0,C1,C0,C0,C0,0,4,0,0,0
Fc0C1Fc1C1Fv5V1LPS21,P,C6,C0,C7,C2,C5,0,9,0,0,0
Fc0C1Fc1C1Fv5V1LPS22,Q,C0,C1,C0,C6,C0,0,0,3,0,5
Fc0C1Fc1C1Fv5V1LPS23,R,C1,C3,C7,C3,C0,1,2,4,3,0
Fc0C1Fc1C1Fv5V1LPS24,R,C3,C1,C1,C8,C8,1,1,0,4,4
Fc0C1Fc1C1Fv5V1LPS25,R,C1,C0,C0,C0,C7,0,0,0,0,0
Fc0C1Fc1C1Fv5V1LPS26,R,C3,C0,C0,C0,C3,0,0,6,0,0
Fc0C1Fc1C1Fv5V1LPS27,T,C7,C0,C2,C2,C1,1,3,1,6,4
Fc0C1Fc1C1Fv5V1LPS28,Q,C1,C6,C0,C0,C2,0,0,0,0,0
Fc0C1Fc1C1Fv5V1LPS29,P,C0,C3,C8,C1,C0,1,2,0,2,0
Fc0C1Fc1C1Fv5V1LPS30,P,C3,C2,C0,C2,C0,0,0,0,0,8
Fc0C1Fc1C1Fv5V1LPS31,R,C9,C3,C0,C1,C0,0,0,0,0,0
Fc0C1Fc1C1Fv5V2LQS7,Q,C1,C0,C0,C1,C0,1,0,6,0,0
Fc0C1Fc1C1Fv5V2LQS8,P,C2,C4,C2,C1,C0,2,0,3,0,8
Fc0C1Fc1C1Fv5V2LQS9,Q,C8,C2,C1,C3,C1,1,0,4,0,3
Fc0C1Fc1C1Fv5V2LQS11,S,C4,C1,C0,C0,C0,1,0,0,7,0
Fc0C1Fc1C1Fv5V2LQS13,Q,C2,C0,C9,C0,C1,2,0,0,0,5
Fc0C1Fc1C1Fv5V2LQS14,V,C4,C0,C1,C3,C4,1,0,9,0,0
Fc0C1Fc1C1Fv5V2LQS15,P,C1,C0,C1,C3,C4,1,3,7,0,0
Fc0C1Fc1C1Fv5V2LQS17,S,C0,C0,C5,C0,C0,1,3,7,0,0
Fc0C1Fc1C1Fv5V2LQS18,R,C4,C3,C1,C0,C1,3,1,0,9,0
Fc0C1Fc1C1Fv5V2LQS19,P,C1,C0,C0,C4,C0,2,4,0,0,0
Fc0C1Fc1C1Fv5V2LQS20,Q,C9,C3,C0,C3,C2,1,0,6,5,0
Fc0C1Fc1C1Fv5V2LQS21,Q,C7,C0,C4,C0,C0,1,9,0,0,0
Fc0C1Fc1C1Fv5V2LQS22,P,C0,C2,C0,C2,C5,1,0,0,0,0
Fc0C1Fc1C1Fv5V2LQS24,Q,C0,C4,C0,C2,C1,2,0,0,0,0
Fc0C1Fc1C1Fv5V2LQS26,P,C3,C0,C0,C0,C0,1,1,0,0,4
Fc0C1Fc1C1Fv5V2LQS27,T,C0,C0,C0,C1,C1,2,0,0,0,0
