sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fc5,Fv6,Fv7,Fv8,Fv9,Fv10,Fv11
Fc0C1Fc1C1Fc4C1LRS11,Q,C0,C8,C5,C1,C1,C7,0,0,0,7,5,0
Fc0C1Fc1C1Fc4C1LRS12,P,C2,C1,C0,C0,C6,C0,10,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS14,R,C1,C2,C8,C3,C2,C3,0,9,0,2,3,0
Fc0C1Fc1C1Fc4C1LRS15,S,C0,C0,C0,C3,C0,C0,7,2,2,6,2,1
Fc0C1Fc1C1Fc4C2LSS3,R,C2,C2,C1,C0,C0,C0,0,0,7,1,2,0
Fc0C1Fc1C1Fc4C2LSS4,P,C2,C8,C0,C3,C8,C0,0,0,0,0,3,0
Fc0C1Fc1C1Fc4C2LSS6,T,C0,C5,C5,C0,C0,C0,5,2,0,2,4,0
Fc0C1Fc1C1Fc4C2LSS7,T,C6,C8,C3,C5,C8,C0,0,5,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS10,Q,C0,C1,C1,C0,C3,C3,8,0,0,1,6,0
Fc0C1Fc1C1Fc4C2LSS11,Q,C0,C4,C3,C8,C0,C3,0,0,0,0,0,0
Fc0C1Fc1C1Fc4C2LSS12,V,C6,C9,C7,C2,C2,C1,2,0,0,3,5,6
Fc0C1Fc1C1Fc4C2LSS13,Q,C0,C2,C1,C0,C3,C1,5,0,7,0,0,0
Fc0C1Fc1C1Fc4C2LSS15,S,C1,C0,C2,C5,C2,C0,1,0,3,5,4,0
Fc0C1Fc1C1Fc4C3LTS3,T,C2,C1,C3,C1,C3,C0,0,8,6,4,3,3
Fc0C1Fc1C1Fc4C3LTS4,P,C1,C9,C8,C0,C0,C2,0,2,5,0,1,5
Fc0C1Fc1C1Fc4C3LTS5,P,C9,C0,C0,C2,C0,C8,0,5,0,0,3,4
Fc0C1Fc1C1Fc4C3LTS6,Q,C6,C3,C1,C0,C0,C2,0,0,0,0,0,0
Fc0C1Fc1C1Fc4C3LTS7,T,C5,C0,C6,C0,C0,C5,6,0,8,0,4,0
Fc0C1Fc1C1Fc4C3LTS8,S,C3,C0,C0,C0,C6,C0,0,0,6,4,0,3
Fc0C1Fc1C1Fc4C3LTS9,R,C5,C7,C1,C2,C1,C0,6,0,9,0,0,4
Fc0C1Fc1C1Fc4C3LTS10,V,C5,C0,C3,C2,C3,C3,6,5,1,0,0,0
Fc0C1Fc1C1Fc4C3LTS11,Q,C7,C5,C0,C0,C1,C0,8,0,3,1,6,0
Fc0C1Fc1C1Fc4C3LTS12,R,C4,C0,C0,C9,C4,C1,0,0,4,3,0,6
Fc0C1Fc1C1Fc4C3LTS13,T,C1,C0,C6,C0,C0,C4,0,0,0,0,2,4
Fc0C1Fc1C1Fc4C3LTS14,R,C2,C5,C3,C0,C9,C0,9,1,5,0,0,3
Fc0C1Fc1C1Fc5C1LPS3,P,C0,C1,C0,C5,C0,C2,0,6,0,3,6,0
Fc0C1Fc1C1Fc5C1LPS4,P,C3,C2,C0,C2,C0,C9,0,0,5,0,0,0
Fc0C1Fc1C1Fc5C1LPS5,R,C0,C1,C9,C5,C7,C0,5,0,4,0,5,4
Fc0C1Fc1C1Fc5C1LPS6,S,C0,C5,C1,C5,C1,C9,4,0,2,0,0,0
Fc0C1Fc1C1Fc5C1LPS7,P,C3,C1,C0,C4,C2,C9,0,7,0,0,1,3
Fc0C1Fc1C1Fc5C1LPS8,R,C3,C1,C0,C1,C0,C1,2,1,0,6,1,5
Fc0C1Fc1C1Fc5C1LPS9,P,C2,C4,C1,C4,C2,C0,3,3,1,0,2,0
Fc0C1Fc1C1Fc5C1LPS10,Q,C2,C0,C3,C8,C7,C2,9,0,2,0,0,0
Fc0C1Fc1C1Fc5C1LPS12,P,C0,C0,C3,C0,C0,C3,9,0,7,3,0,0
Fc0C1Fc1C1Fc5C1LPS13,Q,C0,C6,C0,C0,C0,C3,0,3,5,0,2,0
Fc0C1Fc1C1Fc5C1LPS15,R,C5,C0,C8,C1,C2,C2,0,1,0,0,4,0
Fc0C1Fc1C1Fc5C2LQS3,P,C2,C2,C0,C2,C6,C0,7,1,4,0,1,2
Fc0C1Fc1C1Fc5C2LQS4,R,C0,C7,C1,C0,C2,C9,0,6,0,0,0,0
Fc0C1Fc1C1Fc5C2LQS6,Q,C3,C5,C0,C0,C1,C1,0,8,0,0,8,0
Fc0C1Fc1C1Fc5C2LQS7,P,C6,C1,C2,C5,C2,C0,5,0,0,0,0,0
Fc0C1Fc1C1Fc5C2LQS8,R,C5,C0,C9,C3,C3,C0,0,7,1,0,1,2
Fc0C1Fc1C1Fc5C2LQS9,T,C3,C3,C0,C3,C8,C6,0,3,0,0,6,0
Fc0C1Fc1C1Fc5C2LQS10,T,C0,C1,C3,C2,C8,C2,10,0,1,0,0,0
Fc0C1Fc1C1Fc5C2LQS11,P,C6,C1,C1,C0,C0,C0,0,0,0,6,0,3
Fc0C1Fc1C1Fc5C2LQS12,R,C0,C1,C8,C3,C3,C2,0,0,0,1,3,7
Fc0C1Fc1C1Fc5C2LQS13,R,C5,C9,C1,C6,C1,C0,0,4,1,4,1,0
Fc0C1Fc1C1Fc5C2LQS14,Q,C3,C0,C0,C0,C0,C2,5,0,0,2,0,2
Fc0C1Fc1C1Fc5C2LQS15,R,C2,C0,C3,C1,C0,C9,0,0,4,6,0,5
Fc0C1Fc1C1Fc5C3LRS3,Q,C0,C2,C2,C0,C0,C2,1,1,0,0,0,9
Fc0C1Fc1C1Fc5C3LRS4,P,C0,C0,C1,C3,C0,C4,0,0,0,0,0,0
Fc0C1Fc1C1Fc5C3LRS5,Q,C3,C4,C0,C6,C4,C8,0,3,2,5,0,3
Fc0C1Fc1C1Fc5C3LRS8,P,C3,C1,C2,C9,C0,C0,0,0,0,5,0,5
Fc0C1Fc1C1Fc5C3LRS9,T,C9,C2,C0,C0,C2,C1,3,3,9,7,0,0
Fc0C1Fc1C1Fc5C3LRS10,V,C1,C0,C5,C1,C4,C1,0,0,0,4,1,1
Fc0C1Fc1C1Fc5C3LRS12,Q,C4,C0,C2,C0,C0,C3,4,0,0,5,0,0
Fc0C1Fc1C1Fc5C3LRS13,T,C3,C3,C1,C0,C7,C1,0,4,0,3,5,9
Fc0C1Fc1C1Fc5C3LRS14,R,C3,C8,C0,C0,C4,C0,0,1,7,1,1,0
Fc0C1Fc1C1Fc5C3LRS15,P,C1,C1,C0,C0,C1,C0,0,6,0,0,0,0
Fc0C1Fc1C1Fv6V1LSS3,S,C0,C0,C0,C7,C3,C0,1,0,0,0,0,0
Fc0C1Fc1C1Fv6V1LSS4,P,C0,C0,C2,C4,C1,C7,0,0,5,5,2,0
Fc0C1Fc1C1Fv6V1LSS5,Q,C0,C2,C0,C8,C0,C3,0,2,4,0,0,0
Fc0C1Fc1C1Fv6V1LSS6,T,C0,C3,C6,C0,C0,C0,0,3,4,0,0,2
Fc0C1Fc1C1Fv6V1LSS7,Q,C0,C0,C2,C0,C9,C2,3,5,0,0,5,1
Fc0C1Fc1C1Fv6V1LSS8,Q,C8,C3,C7,C4,C0,C0,4,0,4,5,0,0
Fc0C1Fc1C1Fv6V1LSS9,V,C0,C1,C2,C0,C7,C1,0,0,1,0,0,9
Fc0C1Fc1C1Fv6V1LSS10,P,C8,C3,C2,C0,C0,C0,0,0,2,0,3,2
Fc0C1Fc1C1Fv6V1LSS11,V,C1,C0,C4,C9,C0,C0,0,0,0,0,4,0
Fc0C1Fc1C1Fv6V1LSS12,T,C0,C0,C3,C0,C4,C3,0,1,0,0,7,0
Fc0C1Fc1C1Fv6V1LSS13,T,C0,C1,C5,C0,C0,C5,0,0,0,0,7,3
Fc0C1Fc1C1Fv6V1LSS14,P,C0,C0,C0,C0,C0,C2,0,2,0,5,2,3
Fc0C1Fc1C1Fv6V1LSS15,R,C1,C0,C2,C1,C0,C3,1,0,0,5,0,0
Fc0C1Fc1C1Fv6V2LPS4,Q,C1,C0,C2,C1,C9,C1,2,0,0,0,0,4
Fc0C1Fc1C1Fv6V2LPS5,Q,C5,C9,C3,C0,C0,C0,0,4,1,0,1,0
Fc0C1Fc1C1Fv6V2LPS6,R,C0,C0,C9,C8,C0,C8,2,6,0,0,0,0
Fc0C1Fc1C1Fv6V2LPS7,S,C0,C0,C3,C0,C5,C6,2,4,0,0,5,0
Fc0C1Fc1C1Fv6V2LPS8,P,C0,C0,C6,C1,C0,C0,1,0,0,0,3,5
Fc0C1Fc1C1Fv6V2LPS9,Q,C3,C0,C4,C4,C0,C0,2,0,0,0,0,0
Fc0C1Fc1C1Fv6V2LPS10,R,C7,C3,C8,C7,C0,C0,1,0,6,0,2,0
Fc0C1Fc1C1Fv6V2LPS11,P,C5,C0,C7,C0,C0,C3,2,0,0,0,0,0
Fc0C1Fc1C1Fv6V2LPS12,Q,C4,C3,C0,C0,C0,C3,2,2,0,3,4,0
Fc0C1Fc1C1Fv6V2LPS13,V,C0,C0,C4,C1,C3,C0,1,0,1,1,1,0
Fc0C1Fc1C1Fv6V2LPS14,Q,C7,C2,C0,C2,C0,C0,2,2,3,2,3,5
Fc0C1Fc1C1Fv6V2LPS15,S,C0,C2,C0,C0,C7,C0,2,0,0,0,0,0
Fc0C1Fc1C1Fv6V3LQS3,R,C2,C0,C8,C5,C0,C9,2,0,1,0,4,1
Fc0C1Fc1C1Fv6V3LQS5,P,C3,C2,C0,C3,C5,C0,2,2,0,0,7,0
Fc0C1Fc1C1Fv6V3LQS7,S,C6,C2,C0,C8,C2,C1,2,0,0,5,0,0
Fc0C1Fc1C1Fv6V3LQS8,P,C3,C0,C8,C2,C6,C7,2,0,7,5,3,1
Fc0C1Fc1C1Fv6V3LQS10,S,C7,C1,C0,C0,C5,C0,5,0,6,0,0,6
Fc0C1Fc1C1Fv6V3LQS11,S,C2,C0,C0,C5,C0,C5,1,0,2,4,1,5
Fc0C1Fc1C1Fv6V3LQS12,Q,C1,C9,C0,C7,C1,C0,2,6,0,2,7,0
Fc0C1Fc1C1Fv6V3LQS13,P,C0,C0,C5,C3,C2,C0,2,5,0,0,9,0
Fc0C1Fc1C1Fv6V3LQS15,R,C0,C0,C7,C7,C0,C0,2,1,0,1,1,7
Fc0C1Fc1C1Fv7V1LRS3,R,C9,C0,C0,C0,C0,C0,7,1,0,1,6,0
Fc0C1Fc1C1Fv7V1LRS4,Q,C4,C0,C1,C6,C0,C0,2,2,0,4,2,6
Fc0C1Fc1C1Fv7V1LRS5,S,C2,C0,C8,C6,C3,C0,2,0,6,0,0,0
Fc0C1Fc1C1Fv7V1LRS6,P,C0,C0,C0,C4,C1,C9,3,0,8,7,0,3
Fc0C1Fc1C1Fv7V1LRS7,P,C1,C0,C7,C0,C7,C8,2,1,3,0,0,0
Fc0C1Fc1C1Fv7V1LRS8,S,C4,C2,C3,C1,C9,C0,0,0,3,1,1,5
Fc0C1Fc1C1Fv7V1LRS9,P,C0,C0,C1,C0,C3,C9,6,2,2,4,4,5
Fc0C1Fc1C1Fv7V1LRS10,S,C0,C0,C0,C0,C0,C0,4,0,4,6,2,1
Fc0C1Fc1C1Fv7V1LRS11,T,C0,C2,C2,C3,C0,C0,0,1,0,0,0,0
Fc0C1Fc1C1Fv7V1LRS12,Q,C5,C0,C8,C6,C0,C0,0,1,0,0,6,0
Fc0C1Fc1C1Fv7V1LRS13,R,C0,C0,C0,C0,C3,C0,1,1,3,0,0,3
Fc0C1Fc1C1Fv7V1LRS14,Q,C4,C8,C0,C0,C0,C8,5,1,1,0,0,0
Fc0C1Fc1C1Fv7V1LRS15,R,C2,C0,C3,C6,C7,C0,4,0,1,3,2,0
Fc0C1Fc1C1Fv7V2LPS3,T,C1,C1,C3,C0,C0,C4,0,2,0,2,5,0
Fc0C1Fc1C1Fv7V2LPS5,P,C0,C1,C0,C0,C0,C3,0,1,7,0,0,0
Fc0C1Fc1C1Fv7V2LPS6,S,C1,C2,C4,C3,C0,C0,0,1,1,7,3,0
Fc0C1Fc1C1Fv7V2LPS7,V,C1,C1,C0,C0,C1,C0,0,2,0,0,0,3
Fc0C1Fc1C1Fv7V2LPS8,P,C4,C0,C0,C7,C0,C0,7,1,0,0,0,0
Fc0C1Fc1C1Fv7V2LPS9,V,C0,C0,C2,C0,C0,C0,0,1,0,0,0,0
Fc0C1Fc1C1Fv7V2LPS10,V,C2,C5,C6,C3,C3,C1,0,2,0,8,6,3
Fc0C1Fc1C1Fv7V2LPS12,S,C2,C8,C0,C2,C3,C0,0,2,6,0,0,0
Fc0C1Fc1C1Fv7V2LPS13,S,C0,C0,C0,C0,C9,C3,2,1,2,0,1,7
Fc0C1Fc1C1Fv7V2LPS14,R,C0,C9,C3,C8,C4,C7,6,2,0,1,0,1
Fc0C1Fc1C1Fv7V3LQS3,Q,C0,C1,C1,C0,C3,C0,0,2,0,0,0,0
Fc0C1Fc1C1Fv7V3LQS4,P,C5,C0,C6,C8,C3,C0,0,3,5,2,2,0
Fc0C1Fc1C1Fv7V3LQS5,S,C2,C1,C2,C0,C0,C0,1,2,0,4,5,0
Fc0C1Fc1C1Fv7V3LQS6,T,C8,C0,C3,C0,C5,C0,0,3,8,2,2,8
Fc0C1Fc1C1Fv7V3LQS7,S,C7,C0,C3,C8,C5,C9,0,3,0,0,0,4
Fc0C1Fc1C1Fv7V3LQS8,P,C8,C0,C1,C9,C0,C7,4,3,6,6,6,0
Fc0C1Fc1C1Fv7V3LQS9,R,C2,C4,C0,C4,C1,C0,0,2,0,0,0,0
Fc0C1Fc1C1Fv7V3LQS10,Q,C5,C0,C0,C7,C0,C3,0,2,5,0,0,0
Fc0C1Fc1C1Fv7V3LQS11,R,C0,C1,C1,C5,C0,C0,0,3,0,4,0,0
Fc0C1Fc1C1Fv7V3LQS12,T,C7,C0,C0,C0,C0,C0,7,1,8,0,0,0
Fc0C1Fc1C1Fv7V3LQS13,Q,C3,C4,C4,C2,C2,C0,0,3,5,0,0,0
Fc0C1Fc1C1Fv7V3LQS14,P,C3,C1,C0,C0,C0,C2,0,3,4,0,2,0
Fc0C1Fc1C1Fv7V3LQS15,V,C7,C1,C0,C3,C0,C0,0,3,0,0,0,3
Fc0C1Fc1C1Fv8V1LPS3,V,C9,C0,C5,C3,C7,C3,8,0,0,0,0,0
Fc0C1Fc1C1Fv8V1LPS4,R,C6,C8,C3,C0,C6,C5,0,0,1,0,4,0
Fc0C1Fc1C1Fv8V1LPS5,P,C0,C1,C3,C9,C9,C6,0,2,0,1,1,3
Fc0C1Fc1C1Fv8V1LPS6,R,C2,C8,C6,C5,C0,C0,0,0,1,0,3,0
Fc0C1Fc1C1Fv8V1LPS7,V,C2,C6,C5,C4,C6,C0,0,1,0,0,1,5
Fc0C1Fc1C1Fv8V1LPS8,Q,C3,C1,C9,C8,C2,C6,0,0,0,1,0,5
Fc0C1Fc1C1Fv8V1LPS9,R,C9,C0,C0,C0,C0,C3,4,4,1,6,5,0
Fc0C1Fc1C1Fv8V1LPS10,P,C0,C0,C0,C9,C0,C2,6,0,1,2,7,0
Fc0C1Fc1C1Fv8V1LPS11,Q,C0,C0,C1,C0,C3,C1,6,7,0,4,4,0
Fc0C1Fc1C1Fv8V1LPS12,Q,C0,C7,C0,C8,C1,C0,4,0,0,0,0,1
Fc0C1Fc1C1Fv8V1LPS13,P,C0,C7,C1,C0,C8,C9,0,0,0,0,0,3
Fc0C1Fc1C1Fv8V1LPS14,P,C0,C6,C1,C7,C0,C5,8,3,0,8,6,0
Fc0C1Fc1C1Fv8V1LPS15,V,C0,C0,C1,C6,C0,C2,2,0,0,4,0,1
Fc0C1Fc1C1Fv8V2LVS3,P,C0,C3,C2,C1,C5,C5,1,2,0,6,0,0
Fc0C1Fc1C1Fv8V2LVS4,P,C0,C8,C0,C0,C2,C3,0,7,1,9,9,0
Fc0C1Fc1C1Fv8V2LVS5,P,C1,C2,C7,C7,C2,C0,0,0,1,5,4,0
Fc0C1Fc1C1Fv8V2LVS6,P,C7,C0,C3,C0,C9,C0,1,0,1,0,0,8
Fc0C1Fc1C1Fv8V2LVS7,R,C2,C0,C0,C0,C0,C9,4,1,2,1,3,8
Fc0C1Fc1C1Fv8V2LVS9,V,C1,C0,C2,C0,C0,C9,1,0,2,0,0,8
Fc0C1Fc1C1Fv8V2LVS10,S,C0,C6,C6,C0,C0,C2,2,0,2,4,1,0
Fc0C1Fc1C1Fv8V2LVS11,P,C6,C6,C2,C4,C1,C0,1,3,2,0,0,8
Fc0C1Fc1C1Fv8V2LVS12,R,C0,C7,C2,C1,C0,C8,1,0,2,0,0,6
Fc0C1Fc1C1Fv8V2LVS13,P,C7,C0,C0,C0,C0,C1,7,6,4,0,0,4
Fc0C1Fc1C1Fv8V2LVS14,P,C3,C0,C4,C0,C5,C3,0,5,0,0,4,0
