sample,label,Fc0,Fc1,Fc2,Fc3,Fv4,Fv5,Fv6,Fv7
Fc0C1Fc1C1Fc2C1LRS21,R,C0,C0,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS22,R,C1,C2,C0,C1,0,0,8,0
Fc0C1Fc1C1Fc2C1LRS23,R,C3,C3,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS24,R,C0,C3,C1,C2,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS25,Q,C1,C3,C1,C0,0,2,5,0
Fc0C1Fc1C1Fc2C1LRS26,V,C3,C3,C1,C3,8,0,0,0
Fc0C1Fc1C1Fc2C1LRS27,P,C3,C3,C0,C2,0,0,0,6
Fc0C1Fc1C1Fc2C1LRS28,R,C2,C3,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS29,S,C1,C0,C3,C3,0,0,5,0
Fc0C1Fc1C1Fc2C1LRS30,P,C0,C3,C3,C3,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS32,R,C3,C0,C0,C0,4,0,0,0
Fc0C1Fc1C1Fc2C1LRS33,P,C1,C2,C0,C2,0,0,6,0
Fc0C1Fc1C1Fc2C1LRS34,R,C2,C3,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS36,R,C1,C1,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS37,R,C2,C1,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS39,P,C2,C0,C1,C2,0,0,5,0
Fc0C1Fc1C1Fc2C1LRS41,R,C0,C0,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS42,Q,C2,C2,C0,C1,0,4,0,0
Fc0C1Fc1C1Fc2C1LRS43,S,C0,C3,C0,C3,0,2,5,0
Fc0C1Fc1C1Fc2C1LRS44,R,C0,C3,C2,C1,7,0,0,0
Fc0C1Fc1C1Fc2C1LRS45,R,C0,C2,C2,C1,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS48,V,C2,C2,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS50,P,C2,C0,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS52,Q,C2,C0,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS53,P,C2,C1,C3,C2,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS54,P,C1,C3,C0,C2,3,0,0,4
Fc0C1Fc1C1Fc2C1LRS56,S,C7,C0,C0,C0,6,0,0,0
Fc0C1Fc1C1Fc2C1LRS58,P,C0,C0,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS59,R,C3,C1,C2,C0,6,0,0,0
Fc0C1Fc1C1Fc2C1LRS60,S,C0,C0,C2,C0,0,0,3,0
Fc0C1Fc1C1Fc2C1LRS61,R,C3,C2,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS62,R,C0,C1,C2,C0,0,8,0,0
Fc0C1Fc1C1Fc2C1LRS63,R,C2,C2,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS15,Q,C3,C0,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS16,S,C1,C2,C3,C3,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS17,Q,C3,C3,C2,C2,0,3,0,0
Fc0C1Fc1C1Fc2C2LSS19,R,C2,C2,C3,C2,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS20,S,C3,C0,C1,C2,0,7,0,0
Fc0C1Fc1C1Fc2C2LSS21,Q,C3,C0,C1,C0,7,0,0,0
Fc0C1Fc1C1Fc2C2LSS22,S,C0,C0,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS23,Q,C2,C3,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS24,Q,C0,C3,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS26,S,C0,C2,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS27,V,C1,C2,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS29,S,C0,C3,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS30,P,C0,C1,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS31,V,C2,C3,C0,C0,3,0,4,0
Fc0C1Fc1C1Fc2C2LSS32,S,C3,C2,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS33,P,C0,C2,C1,C2,0,0,0,4
Fc0C1Fc1C1Fc2C2LSS34,P,C2,C0,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS35,S,C1,C1,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS36,S,C1,C0,C1,C2,9,0,0,0
Fc0C1Fc1C1Fc2C2LSS37,S,C2,C0,C2,C1,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS38,S,C2,C3,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS40,P,C3,C3,C0,C0,5,0,0,0
Fc0C1Fc1C1Fc2C2LSS41,S,C0,C2,C3,C2,0,0,9,0
Fc0C1Fc1C1Fc2C2LSS42,Q,C0,C0,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS43,R,C3,C0,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS44,S,C1,C0,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS45,S,C0,C3,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS46,S,C1,C1,C0,C0,6,0,0,0
Fc0C1Fc1C1Fc2C2LSS47,R,C0,C3,C1,C1,0,0,0,8
Fc0C1Fc1C1Fc2C2LSS48,P,C0,C1,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS49,S,C2,C3,C2,C1,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS50,S,C0,C0,C0,C0,0,0,0,8
Fc0C1Fc1C1Fc2C2LSS51,Q,C3,C1,C3,C2,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS52,S,C0,C0,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS53,S,C3,C2,C0,C6,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS54,Q,C3,C2,C1,C1,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS55,Q,C0,C1,C3,C2,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS57,Q,C2,C0,C1,C2,9,0,0,0
Fc0C1Fc1C1Fc2C2LSS58,S,C3,C2,C2,C2,0,0,0,8
Fc0C1Fc1C1Fc2C2LSS59,S,C3,C0,C2,C3,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS60,Q,C3,C3,C3,C0,0,0,7,0
Fc0C1Fc1C1Fc2C2LSS61,V,C0,C0,C2,C1,4,0,0,0
Fc0C1Fc1C1Fc2C2LSS62,Q,C0,C1,C3,C3,0,0,5,0
Fc0C1Fc1C1Fc2C2LSS63,P,C1,C0,C3,C3,7,0,0,0
Fc0C1Fc1C1Fc2C3LTS15,T,C2,C0,C1,C2,7,0,0,0
Fc0C1Fc1C1Fc2C3LTS16,P,C2,C0,C0,C6,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS17,T,C0,C1,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS18,Q,C0,C2,C2,C3,6,0,0,0
Fc0C1Fc1C1Fc2C3LTS19,T,C0,C0,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS22,T,C3,C2,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS23,P,C0,C0,C1,C1,0,0,6,0
Fc0C1Fc1C1Fc2C3LTS24,Q,C0,C1,C3,C3,0,0,0,5
Fc0C1Fc1C1Fc2C3LTS25,P,C2,C1,C0,C1,0,0,7,0
Fc0C1Fc1C1Fc2C3LTS26,Q,C0,C2,C2,C3,0,4,0,0
Fc0C1Fc1C1Fc2C3LTS27,S,C1,C3,C0,C1,5,0,0,0
Fc0C1Fc1C1Fc2C3LTS28,P,C2,C1,C0,C3,0,0,0,9
Fc0C1Fc1C1Fc2C3LTS30,Q,C1,C0,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS31,P,C1,C2,C0,C0,0,0,5,0
Fc0C1Fc1C1Fc2C3LTS32,P,C0,C0,C3,C3,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS33,P,C0,C0,C3,C0,8,0,0,0
Fc0C1Fc1C1Fc2C3LTS34,S,C3,C3,C0,C5,4,0,0,0
Fc0C1Fc1C1Fc2C3LTS35,P,C3,C0,C1,C1,0,0,4,0
Fc0C1Fc1C1Fc2C3LTS36,T,C1,C3,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS37,P,C2,C2,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS38,P,C3,C0,C1,C0,0,0,3,0
Fc0C1Fc1C1Fc2C3LTS39,T,C0,C3,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS40,P,C3,C0,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS41,Q,C0,C0,C1,C3,0,4,0,0
Fc0C1Fc1C1Fc2C3LTS42,T,C3,C1,C1,C1,0,0,0,8
Fc0C1Fc1C1Fc2C3LTS43,T,C3,C0,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS44,T,C0,C1,C0,C0,0,7,0,0
Fc0C1Fc1C1Fc2C3LTS45,R,C3,C1,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS46,Q,C0,C3,C0,C1,0,0,0,4
Fc0C1Fc1C1Fc2C3LTS47,T,C0,C0,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS48,P,C0,C2,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS49,T,C3,C0,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS50,P,C0,C2,C0,C0,9,0,0,0
Fc0C1Fc1C1Fc2C3LTS52,P,C0,C1,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS54,Q,C1,C0,C3,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS55,P,C3,C0,C0,C0,0,0,0,8
Fc0C1Fc1C1Fc2C3LTS56,T,C2,C0,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS57,Q,C0,C3,C2,C1,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS58,R,C1,C2,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS59,Q,C1,C1,C3,C0,0,0,9,0
Fc0C1Fc1C1Fc2C3LTS60,P,C2,C2,C2,C0,0,0,0,8
Fc0C1Fc1C1Fc2C3LTS61,P,C2,C2,C1,C2,0,0,0,7
Fc0C1Fc1C1Fc2C3LTS63,P,C2,C0,C1,C2,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS15,R,C3,C2,C0,C3,0,0,0,7
Fc0C1Fc1C1Fc3C1LVS16,S,C3,C2,C3,C0,0,0,9,0
Fc0C1Fc1C1Fc3C1LVS17,R,C2,C0,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS18,V,C1,C3,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS19,T,C2,C3,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS20,V,C2,C3,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS21,V,C0,C3,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS22,S,C0,C1,C2,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS23,R,C1,C2,C3,C3,0,4,0,0
Fc0C1Fc1C1Fc3C1LVS24,V,C0,C2,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS25,V,C2,C1,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS26,V,C1,C0,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS28,S,C1,C1,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS29,S,C0,C0,C0,C0,0,9,0,0
Fc0C1Fc1C1Fc3C1LVS30,Q,C0,C0,C1,C0,0,0,0,6
Fc0C1Fc1C1Fc3C1LVS31,P,C3,C0,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS32,V,C3,C2,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS33,V,C3,C0,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS34,Q,C2,C2,C1,C1,0,0,4,0
Fc0C1Fc1C1Fc3C1LVS35,P,C1,C2,C1,C1,0,0,3,0
Fc0C1Fc1C1Fc3C1LVS37,R,C0,C0,C3,C0,0,0,0,5
Fc0C1Fc1C1Fc3C1LVS38,V,C3,C3,C0,C0,3,0,0,0
Fc0C1Fc1C1Fc3C1LVS40,V,C0,C3,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS41,Q,C0,C2,C2,C1,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS42,Q,C1,C2,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS43,Q,C0,C3,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS44,V,C1,C3,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS45,P,C3,C2,C4,C7,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS46,R,C0,C1,C3,C1,3,0,0,5
Fc0C1Fc1C1Fc3C1LVS48,V,C1,C0,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS49,V,C0,C3,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS50,P,C0,C3,C2,C0,0,7,0,0
Fc0C1Fc1C1Fc3C1LVS52,S,C3,C3,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS53,R,C0,C0,C3,C0,7,0,0,0
Fc0C1Fc1C1Fc3C1LVS54,P,C3,C2,C3,C0,0,9,0,0
Fc0C1Fc1C1Fc3C1LVS56,V,C3,C0,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS57,P,C2,C0,C2,C3,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS59,V,C0,C2,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS60,Q,C0,C3,C0,C3,0,8,0,0
Fc0C1Fc1C1Fc3C1LVS61,Q,C1,C0,C1,C1,0,8,0,0
Fc0C1Fc1C1Fc3C1LVS62,Q,C5,C3,C1,C1,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS63,R,C1,C2,C0,C2,0,0,0,8
Fc0C1Fc1C1Fc3C2LPS15,P,C1,C1,C0,C0,0,8,0,0
Fc0C1Fc1C1Fc3C2LPS16,Q,C2,C3,C1,C0,0,8,0,0
Fc0C1Fc1C1Fc3C2LPS17,P,C3,C0,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS18,Q,C3,C0,C2,C4,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS19,R,C1,C0,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS20,S,C0,C3,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS21,P,C3,C2,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS23,R,C1,C2,C3,C3,0,0,8,0
Fc0C1Fc1C1Fc3C2LPS24,P,C2,C0,C0,C3,7,0,0,0
Fc0C1Fc1C1Fc3C2LPS25,V,C2,C3,C0,C1,0,9,0,0
Fc0C1Fc1C1Fc3C2LPS26,R,C0,C0,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS27,R,C2,C0,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS28,R,C1,C0,C1,C1,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS29,Q,C0,C0,C1,C2,0,3,0,0
Fc0C1Fc1C1Fc3C2LPS30,P,C0,C0,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS31,Q,C1,C3,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS32,S,C1,C3,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS33,P,C3,C0,C3,C3,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS36,Q,C3,C0,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS37,Q,C1,C0,C1,C0,0,0,0,5
Fc0C1Fc1C1Fc3C2LPS38,S,C1,C0,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS39,P,C1,C3,C1,C2,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS40,P,C1,C2,C1,C2,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS41,P,C3,C1,C0,C2,0,0,4,0
Fc0C1Fc1C1Fc3C2LPS43,S,C2,C3,C0,C1,0,0,0,7
Fc0C1Fc1C1Fc3C2LPS44,S,C3,C2,C0,C1,0,0,6,0
Fc0C1Fc1C1Fc3C2LPS45,R,C2,C0,C2,C2,8,0,0,0
Fc0C1Fc1C1Fc3C2LPS46,P,C0,C3,C2,C2,0,6,0,0
Fc0C1Fc1C1Fc3C2LPS47,P,C2,C3,C1,C1,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS48,P,C3,C3,C3,C0,0,0,0,6
Fc0C1Fc1C1Fc3C2LPS49,S,C0,C2,C3,C2,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS50,P,C0,C3,C3,C3,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS51,P,C1,C3,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS54,P,C0,C1,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS55,R,C0,C3,C3,C1,0,0,5,0
Fc0C1Fc1C1Fc3C2LPS56,S,C3,C0,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS57,P,C2,C3,C1,C1,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS58,R,C1,C0,C0,C0,0,0,5,0
Fc0C1Fc1C1Fc3C2LPS59,T,C1,C2,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS60,Q,C0,C3,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS61,Q,C0,C1,C0,C3,4,0,0,0
Fc0C1Fc1C1Fc3C2LPS62,P,C0,C0,C3,C2,0,9,0,0
Fc0C1Fc1C1Fc3C2LPS63,P,C1,C3,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS15,Q,C2,C3,C1,C2,0,0,6,0
Fc0C1Fc1C1Fc3C3LQS17,Q,C1,C3,C2,C2,0,0,0,5
Fc0C1Fc1C1Fc3C3LQS19,Q,C2,C1,C2,C0,0,2,5,0
Fc0C1Fc1C1Fc3C3LQS22,R,C2,C2,C1,C2,7,0,0,0
Fc0C1Fc1C1Fc3C3LQS23,Q,C2,C3,C0,C0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS24,Q,C1,C1,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS25,Q,C0,C3,C3,C1,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS26,R,C0,C0,C2,C0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS28,R,C2,C0,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS29,S,C0,C1,C1,C0,0,0,0,5
Fc0C1Fc1C1Fc3C3LQS31,T,C3,C3,C2,C2,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS33,P,C0,C3,C1,C1,0,0,5,0
Fc0C1Fc1C1Fc3C3LQS34,S,C1,C3,C3,C0,0,0,0,8
Fc0C1Fc1C1Fc3C3LQS35,Q,C0,C2,C2,C1,7,0,0,0
Fc0C1Fc1C1Fc3C3LQS36,P,C2,C3,C0,C1,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS37,P,C1,C3,C1,C2,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS38,V,C0,C2,C0,C0,0,0,0,4
Fc0C1Fc1C1Fc3C3LQS39,Q,C3,C1,C0,C2,0,0,6,0
Fc0C1Fc1C1Fc3C3LQS40,Q,C2,C0,C3,C0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS41,R,C0,C3,C0,C2,0,0,6,0
Fc0C1Fc1C1Fc3C3LQS42,R,C0,C3,C4,C0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS43,R,C2,C0,C4,C3,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS44,S,C0,C1,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS45,P,C1,C0,C5,C0,8,0,0,0
Fc0C1Fc1C1Fc3C3LQS46,R,C0,C0,C3,C2,0,0,0,9
Fc0C1Fc1C1Fc3C3LQS47,R,C0,C1,C3,C1,0,0,0,5
Fc0C1Fc1C1Fc3C3LQS48,P,C0,C2,C0,C0,8,0,0,0
Fc0C1Fc1C1Fc3C3LQS49,P,C1,C2,C3,C1,0,0,0,3
Fc0C1Fc1C1Fc3C3LQS51,P,C2,C3,C5,C2,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS52,P,C3,C1,C3,C2,8,0,0,0
Fc0C1Fc1C1Fc3C3LQS53,P,C9,C0,C0,C3,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS54,P,C3,C2,C1,C0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS56,P,C0,C2,C1,C3,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS57,Q,C1,C0,C6,C1,0,0,0,0
