,PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
10136,10136,0.010206,0.143666,0.30511,0.265806,0.267287,0.345958,0.175032,0.157052,-0.01335,0.21923,A
10137,10137,-0.281907,-0.020488,0.558949,-1.823144,0.882246,-0.325775,0.110648,-2.573955,-3.282373,-0.174875,A
10138,10138,0.274352,-0.021587,0.367099,0.262874,0.256453,-0.512848,0.404088,0.879461,0.148197,-0.136983,A
10139,10139,0.193285,-0.072562,0.316563,0.231785,0.28068,-0.968934,0.554901,1.047343,0.665836,-0.569928,H
10141,10141,0.099003,0.322702,-2.015742,-0.691695,-0.593992,0.364018,0.078611,-0.155451,0.366719,0.04257,A
10142,10142,0.058322,-0.633801,0.296935,-0.032729,0.220122,0.141234,0.41278,-0.345054,-0.307922,-0.078105,A
10143,10143,0.205871,-0.132345,0.138289,0.347947,0.202018,0.039105,0.076177,0.501248,0.217321,-0.174964,F
10144,10144,-0.200709,-0.238502,0.291487,0.471879,0.253279,0.222224,0.667143,0.421606,-0.021729,0.194108,E
10145,10145,-0.061917,-0.196449,0.265805,0.740941,0.245663,0.106855,0.253371,0.816872,1.140171,-0.243562,X
10146,10146,0.108941,-0.946016,-0.583644,-1.968791,0.243905,1.290536,0.473307,0.430408,0.259078,1.21883,A
10147,10147,0.017655,-0.252136,0.242145,-0.540544,0.248088,-0.414798,0.267498,0.292699,0.061219,-0.379506,E
10148,10148,0.009899,0.062488,-2.464589,-0.7016,0.16695,0.179256,0.726826,-0.901619,0.314514,-0.364932,D
10149,10149,0.494397,-0.196487,0.274438,-0.159293,0.990188,-0.42725,-0.830558,-1.002907,1.160889,0.311873,I
10150,10150,0.035486,-0.289948,0.156893,0.750448,0.258119,0.389706,0.41828,-0.682901,-1.42376,0.145766,A
10151,10151,0.161978,-0.572181,0.075988,0.334439,0.211484,0.180532,0.05191,0.297047,0.069513,0.37935,A
10152,10152,-0.252721,0.216552,0.068997,-0.338807,0.186364,0.797281,0.081276,0.903429,0.221484,0.985377,E
10154,10154,0.062465,0.232937,0.347977,0.286275,0.22717,-0.584244,0.46449,1.03836,0.685101,-0.67766,F
10155,10155,-0.145523,0.203167,0.206859,1.227834,0.281853,1.27236,-0.008028,0.174966,0.52885,1.305187,A
10156,10156,0.095785,-0.102839,0.763414,1.229886,0.28217,0.813279,0.640806,0.483908,-0.221643,0.347901,A
10157,10157,0.138705,0.279337,0.283345,-0.633944,0.233673,-1.33014,0.480565,0.231298,0.464621,-1.113073,H
10158,10158,-0.065924,-0.391772,0.081107,-0.376561,0.229841,-1.004411,0.376753,-0.513276,-0.719291,-1.065661,F
10159,10159,0.059264,0.124914,0.086032,0.199866,0.255158,-0.660026,0.360611,0.24251,-0.193418,-0.549263,G
10160,10160,-0.284117,-0.125758,0.524212,1.142525,0.84855,-0.277068,0.040399,-0.139856,0.405851,-0.016909,X
10161,10161,-0.025704,-0.483536,0.469151,0.414709,0.057985,0.733907,0.123318,0.063092,0.089147,0.933088,A
10162,10162,0.123791,-0.089772,0.236979,0.16667,0.248513,-1.124674,0.40189,0.134441,-0.152984,-0.692994,A
10164,10164,-0.024835,0.074385,0.140067,0.0551,0.247359,0.857863,0.368113,-0.497514,-0.306309,0.926724,F
10165,10165,0.121004,0.328489,0.117422,0.530597,0.268495,-0.126904,0.622133,0.151786,-0.214923,-0.132014,A
10166,10166,-0.243475,0.099291,-1.494144,-0.651644,0.208788,-0.316004,0.304254,-0.148148,-0.177228,-0.201869,F
10167,10167,0.257011,0.269303,-2.585893,-1.147882,-1.005215,-0.627958,-0.373337,0.149142,0.068338,-0.584693,A
10169,10169,-0.105097,-0.828465,0.576401,-0.532011,0.144061,1.915313,0.486685,-1.110037,-1.018901,1.995031,D
10170,10170,0.215166,0.027338,0.394192,-1.192432,0.263304,-0.021761,0.434997,1.047017,-0.241364,0.054782,A
10171,10171,0.057867,0.235782,0.186973,-0.276025,0.233054,0.439293,0.258739,0.084864,-0.324613,0.104163,G
10172,10172,-0.3194,-0.144751,0.090124,0.779233,0.281285,0.011864,-0.267348,1.228481,1.147317,0.154883,X
10173,10173,0.624204,0.174323,0.150354,1.176387,0.92597,-0.433389,-1.064285,0.968829,1.336309,0.304235,I
10174,10174,-0.039593,0.04279,0.400831,1.759096,0.160087,1.091266,0.359332,-0.070786,0.422962,1.624284,A
10175,10175,0.114072,0.329305,0.275121,-0.333225,0.25808,-0.383879,0.536055,-0.280273,-0.173604,-0.647326,F
10176,10176,-0.178524,-0.090409,0.064451,0.06841,0.223041,1.126328,0.111882,-1.220556,-0.772756,1.258659,D
10177,10177,-0.243884,0.065826,0.177021,0.974298,0.23558,-0.39584,0.115061,1.313192,1.045181,-0.270669,E
10178,10178,0.06913,0.311393,0.23588,-0.145087,0.233681,0.093155,0.040521,-0.492694,-0.564241,-0.058851,A
10181,10181,-0.05789,-0.314361,0.290869,1.217862,0.225895,0.076311,0.247173,0.634743,0.217848,0.248002,A
10182,10182,0.120231,-0.175538,0.080917,0.964363,0.182597,-0.237177,0.176361,0.833191,-0.071996,-0.272839,A
10184,10184,0.070315,-0.364609,0.213685,-0.72531,0.2654,0.004442,-0.115574,-1.453792,-0.022539,-0.611102,A
10185,10185,0.606374,-0.326146,-1.746086,0.410281,1.002668,-0.427659,-1.206181,0.823161,1.528452,0.818623,I
10186,10186,-0.096257,0.408433,0.184754,0.900435,0.279529,0.696233,0.189145,0.443664,-0.114084,0.705953,F
10187,10187,0.313226,0.327013,0.18038,-0.164766,0.238509,-0.250172,0.085935,-0.311566,0.023449,-0.502162,A
10188,10188,-0.260505,0.208082,0.24287,1.050677,0.299161,1.879487,0.271068,-0.41799,-0.330443,1.187823,F
10189,10189,-0.133844,0.084828,0.29067,1.100771,0.289297,0.709927,0.101962,0.026224,-0.514424,0.628583,A
10190,10190,0.191451,0.081867,0.247363,-0.625183,0.285391,0.744811,0.337423,-1.518291,-0.129724,0.205009,F
10191,10191,0.016607,0.158516,0.058889,0.055238,0.2761,-0.889894,0.294017,1.062902,0.853246,-0.536786,G
10193,10193,0.078341,0.279911,0.318123,0.036538,0.245927,1.289912,0.402403,-0.939909,-0.331284,1.148669,G
10194,10194,0.100253,0.431052,0.390548,-0.560188,0.107353,-0.419911,0.176026,0.056744,0.351886,-0.337568,A
10195,10195,0.075763,-0.256606,0.23501,-0.763829,0.195007,0.795537,0.8582,-1.747977,-0.535002,0.323236,H
10196,10196,0.191429,0.333183,0.075701,0.092512,0.238791,-0.834993,0.500904,0.57948,0.20992,-0.614175,F
10199,10199,-0.05178,-0.083816,0.254848,0.270581,0.158777,2.623934,0.012827,-1.374578,-1.032217,0.945541,D
10200,10200,0.029692,0.087964,0.270672,1.252013,0.27037,-0.201847,0.454878,0.0368,0.185573,-0.227898,X
10201,10201,0.133607,-0.263689,0.105063,1.124163,0.936027,-0.198045,-0.961265,0.744089,1.377029,0.733731,I
10202,10202,0.047677,0.292686,0.144252,1.18545,0.244903,-0.062267,0.322846,1.176911,0.455104,0.220519,E
10203,10203,-0.175133,0.409436,0.302818,0.612727,0.281714,0.26083,0.002787,1.035284,0.568448,0.203928,A
10204,10204,-0.138319,-0.166317,0.397647,1.17809,0.760274,0.443939,-0.903392,0.383021,1.064525,1.735968,Y
10205,10205,-0.027712,0.320372,0.290848,1.189045,0.287627,1.074343,0.35601,0.068277,0.093726,1.047679,E
10206,10206,0.206807,-0.074329,0.154153,-0.483824,0.245623,-0.173481,0.261503,0.294938,0.04079,0.006341,A
10207,10207,0.082075,0.410027,0.215994,0.83724,0.24678,0.925204,-0.047436,0.211259,-0.123078,0.912922,A
10208,10208,-1.527024,4.233061,-1.639923,0.098763,-3.102175,-0.057625,0.621026,0.379113,-0.882653,-0.286885,A
10209,10209,0.001041,0.077663,0.766484,-1.234771,0.198513,-0.507413,0.500773,-0.609201,-0.475233,-0.679291,F
10210,10210,-0.094055,-0.325454,0.102196,-0.26076,0.211196,2.088235,0.317371,-1.733507,-1.505108,1.316129,A
10211,10211,0.074261,-0.348201,0.454009,0.820094,0.187885,-0.046008,-3.153627,0.799879,0.28215,-1.184685,A
10212,10212,0.486873,-0.139517,0.157403,-0.924968,0.936064,-0.241888,-0.868285,-0.599198,0.817767,-0.172417,I
10213,10213,0.210467,0.219954,0.331641,-0.589509,0.242656,-0.568259,0.224392,-0.202907,0.046186,-0.625897,F
10214,10214,-3.498799,1.462178,-0.836326,-1.206801,-4.931968,-0.416365,0.263211,0.270007,-0.069165,-0.630449,A
10215,10215,-0.014388,-0.157196,-1.603601,-0.719743,0.215562,-0.434354,0.219712,0.061672,0.032856,-0.507824,A
10216,10216,0.232364,0.052428,0.479836,-1.242048,-0.282926,-1.578509,0.698662,-2.345119,-2.186671,-0.821539,E
10217,10217,-0.583357,-0.065673,-0.260698,-0.790501,0.087875,1.358587,0.897201,-2.105992,-1.90298,0.449004,H
10218,10218,-3.498799,-0.399305,-0.395402,1.311161,-4.922215,-0.010201,0.17699,0.933058,-1.258189,0.728567,X
10219,10219,-0.022634,0.188798,0.230711,-0.019082,0.25589,-0.472237,0.284538,-0.065596,0.221145,-0.538443,H
10220,10220,-0.121483,0.003709,0.219684,1.268675,0.124882,-0.145923,0.341964,0.910426,0.437661,-0.120797,A
10221,10221,0.06778,0.285881,-0.202937,-0.773206,-0.856818,0.720963,0.681321,-0.571681,0.120623,1.080805,A
10222,10222,0.128248,-0.230151,0.297495,0.132365,0.258233,-0.385087,0.606242,-0.203164,-0.212399,-0.662731,F
10223,10223,0.262668,-0.246413,0.273488,-1.095661,0.224878,-0.266789,0.339999,0.747241,0.109976,-0.38383,A
10224,10224,0.045281,0.176709,0.278756,0.301441,0.241217,-0.201445,0.304436,0.623948,0.243519,-0.297876,H
10225,10225,0.143885,-0.104507,-0.012996,-0.850466,0.271332,-0.576066,0.755368,-1.182266,-0.293834,-0.623971,C
10226,10226,-0.067591,-0.264076,0.235976,-0.045098,0.275421,0.633828,0.001795,-0.696882,0.053157,0.587016,A
10227,10227,0.146155,-0.21419,0.298041,-0.714203,0.256308,-1.157245,0.299637,-0.01777,0.257553,-0.832374,F
10228,10228,0.127694,-0.038792,0.104202,0.246192,0.207049,-0.315537,0.674589,-0.514251,-0.226036,-0.370316,A
10229,10229,-0.077005,-0.039956,0.236293,0.972843,0.144381,0.908904,0.246915,0.355766,0.202207,1.287939,A
10230,10230,0.073098,-0.037562,0.340818,-0.278927,0.259574,-0.971006,0.224401,0.284067,0.611439,-0.67174,F
10231,10231,-0.130782,0.102426,0.61594,0.979839,0.564241,-0.874959,-1.542721,1.158369,1.805251,-0.022503,X
10232,10232,-0.139556,0.15151,-0.586211,-0.01511,0.220905,0.600405,0.39928,-0.549888,0.11555,0.807289,G
10233,10233,0.032252,0.305046,0.110415,1.099113,0.276313,-0.012692,0.316284,1.044306,0.025237,0.009728,A
10235,10235,0.06563,0.009358,0.249103,-0.156243,0.23794,-0.114496,0.154904,0.294173,0.681095,-0.074237,E
10236,10236,0.123286,0.257235,0.253743,1.158688,0.270425,0.683586,0.431195,0.570782,0.144471,0.793608,A
10237,10237,0.122379,-0.529918,0.170218,0.523236,0.113148,0.598964,0.361951,-0.203814,0.192065,0.445143,H
10238,10238,0.098419,-0.332722,0.146443,0.437826,0.227873,0.064356,0.515265,0.517217,0.301778,0.094485,A
10239,10239,-0.408861,-0.326002,0.400245,1.278193,0.295274,0.776382,0.009326,0.972321,1.637258,0.653953,Y
10240,10240,0.232971,-0.365268,-0.078033,-0.975327,0.16643,-0.91362,-0.146798,-1.275195,-0.014779,-0.667337,A
10241,10241,-0.126764,0.187741,0.090768,-0.297148,0.263542,-0.30772,0.284367,1.097281,0.55853,-0.703919,G
10243,10243,0.00441,-0.299275,0.112063,0.113806,0.276609,-0.210978,0.051366,-0.078636,0.143419,0.049205,F
10244,10244,-0.259894,0.167955,0.345037,0.529164,0.226406,1.14635,0.015578,-0.547924,0.081675,1.161489,E
10245,10245,0.123715,-0.066804,0.092764,-0.704494,0.255009,-0.795988,0.390976,-0.550667,-0.08185,-0.794751,A
10246,10246,0.192671,-0.230422,0.224332,-0.293284,0.274662,0.112008,0.319415,-0.995438,-0.568958,-0.039974,F
10247,10247,0.072015,0.247949,0.415875,0.07657,-1.218971,1.163,0.574465,0.403697,0.11828,0.494102,A
10248,10248,0.125302,-0.179845,0.388475,0.999188,-1.03207,-0.174909,0.612585,-0.066435,-1.021486,0.250436,A
10249,10249,0.046611,-0.690283,0.164208,-0.788145,-0.62096,1.302655,0.218311,0.304909,-0.345145,1.421349,D
10250,10250,0.095222,0.177422,0.386289,1.126202,0.25197,0.810948,0.359483,0.110741,0.165112,0.776247,A
10251,10251,-0.359825,-0.229921,0.165529,0.66623,0.25465,-0.721156,-0.032187,1.34538,0.564435,-0.474294,E
10252,10252,0.154582,0.081683,0.070924,-0.639175,0.241008,-0.840878,0.454018,-0.369016,0.244505,-0.798973,F
