,Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
13721,13721,0.043003,0.346392,0.062045,2.371742,-14.166,,0.157852,0.416646,0.880849,0.353379,0.156205,0.28021,0.015731,0.042139,5864.652009,0.38126,1.941641,0.174803,-0.042466,,,,0.044953,,0.51514,0.343534,,1.341045,4.324098,0.272834,0.001683,139.581353,5.947549,-0.209528,0.012918,2.018211,,0.438129,0.068178,0.249255,0.120827,,159.369761,93.168458,,0.789404,,,,1.032918,0.271711,0.207871,1.378738,-0.710685,4151.227548,-0.007213,,0.887306,,,3.92161,52.709612,5.866292,7.253332,0
12372,12372,,0.504435,0.00272,2.487019,14.264051,,0.105119,0.148596,1.155534,0.58288,0.109107,0.153411,0.069727,0.127818,1201.038651,0.535474,1.994608,0.114158,0.073951,,,,,,0.369534,0.303025,,-1.724662,4.110921,0.613736,0.048485,118.161866,5.058482,2.313037,0.022668,1.400834,,0.619881,0.003658,0.791223,,,165.208539,91.305612,,0.898853,,,,2.423222,0.356115,0.403799,4.706458,5.441264,3060.635179,0.010334,,1.028049,,,6.129884,38.299096,6.112242,6.284784,0
13969,13969,0.159107,0.142676,0.298257,4.731389,-97.665456,,0.097126,1.140695,1.031198,0.717785,0.046721,0.188223,0.086181,0.018656,2219.701428,-0.183399,7.102399,0.034778,0.143869,62.905383,1.404191,,0.157997,,0.585039,0.101074,,3.485801,4.458549,0.237354,0.058979,98.340105,3.781084,0.511456,0.09309,1.330442,,0.815947,0.167742,2.08014,5.084867,,107.876068,85.686488,8.138169,4.196067,68.048392,,,2.92862,0.275952,0.162992,0.932221,4.051446,6854.51006,0.183757,0.035659,0.822758,,81.477661,4.291788,34.090976,11.826187,2.394799,0
13974,13974,0.04957,0.275529,0.123685,2.950656,14.761593,,-0.00607,0.4268,1.015307,0.343331,0.142495,0.134559,0.063449,0.040452,2370.947014,0.026301,2.802139,0.138985,0.001136,70.483158,1.28419,,0.096089,0.005755,0.497694,0.50646,,0.307503,4.459392,0.359299,0.033426,118.066015,6.865298,1.209286,0.027383,0.988442,,0.539408,0.030226,0.19193,-0.57993,,162.082778,71.225924,0.306407,0.875619,23.908739,-0.017238,0.028613,2.171805,0.260799,0.293246,0.850053,1.847871,2530.053922,0.12576,,,,-1.863378,4.227357,130.431509,7.703176,5.345653,0
12522,12522,,0.362362,0.213524,1.92956,60.083437,,0.082887,0.412343,1.352923,0.651289,0.04417,0.576593,0.058528,0.058384,-1250.121397,0.271854,3.774937,0.125577,0.156591,,,,,,0.445985,0.359831,,0.783597,5.363285,0.331525,-0.04224,,3.520371,0.536411,,1.287218,,0.696525,,0.093703,,,108.452849,,,0.610273,,,,1.369272,0.302112,0.039534,1.850017,0.702258,57405.985556,,,0.876958,,,,66.76746,4.368835,-1.622778,0
15335,15335,0.001895,0.67828,0.077814,1.248273,-30.830879,,0.11834,0.360287,1.107725,0.351792,0.008811,0.201624,0.09057,0.067354,-1260.139744,0.091357,2.027008,0.067461,0.064251,45.375141,,,0.006594,,0.545901,0.469173,,0.949848,4.452647,0.205309,0.045146,126.93424,5.651009,0.413979,0.05356,1.085146,,0.68861,0.062486,-0.157307,-0.106076,,87.867915,49.195993,1.179571,1.72897,72.085579,-0.014841,-0.00692,1.007276,0.437309,0.211654,1.789031,1.158477,1573.765985,0.025113,0.226069,,,9.975561,8.509731,92.520168,3.745646,11.562605,0
11906,11906,,0.574634,0.014982,1.586511,-46.84991,,0.038556,1.460512,1.004629,0.340654,0.091581,0.461716,0.087357,0.053889,1718.850693,0.675144,4.049595,0.046454,0.045947,,,,,,0.665905,0.259915,,-1.551912,4.267818,0.172999,-0.012883,48.331428,5.038939,0.45399,0.034109,2.410595,,0.600949,0.052457,0.362776,1.715028,,98.243645,66.99941,,0.745475,,,,1.455646,0.222469,0.342565,2.186165,0.919299,-617.528729,0.06487,,0.942879,,,6.342743,126.638086,5.605576,3.148896,0
10964,10964,-0.051138,0.68015,0.418437,1.466071,-7.03813,,0.109812,2.697907,2.337742,0.394535,0.221754,0.045917,0.123915,-0.011629,-4846.681164,0.212018,3.657461,-0.023865,0.061131,,,,0.079832,,0.079371,-0.034851,,,3.606038,0.073446,0.074459,109.727364,7.928645,4.391959,0.077349,2.360501,,0.614056,-0.027879,0.628836,,,,,,1.542518,,,,0.58326,0.367064,0.10849,,,108.819031,-0.023619,0.288738,0.9636,,,,94.900651,8.140124,,0
12437,12437,,0.298866,0.147393,2.192071,337.379549,,0.039994,-0.471812,1.873676,0.504402,0.262666,0.757755,0.140175,0.241541,4729.668849,0.346928,4.798637,-0.004537,0.006938,,1.393537,,,,,0.607115,,,3.777398,0.181229,-0.000569,93.342322,11.541314,6.51898,0.254604,2.375998,,0.730783,-0.006599,0.785029,,,72.980916,54.07165,,0.523986,,,,0.359252,0.392832,0.114861,,,1569.340772,0.13592,,0.965509,,,8.746905,50.335626,7.246003,,0
13031,13031,,0.403763,0.116797,2.020246,52.950545,,0.100933,3.76438,1.225666,0.359991,0.152203,0.640483,0.178464,0.104164,9410.45897,0.710746,5.004621,0.084308,-0.001033,,1.499137,,,,0.578622,,,-0.612107,5.054002,0.353595,0.00483,122.761221,3.843832,0.69435,0.054645,0.916961,,0.796977,0.083464,0.199112,0.163648,,155.781441,82.930083,,1.463913,,,,2.258658,0.467429,0.119705,2.241334,2.68254,8335.327804,0.104652,,0.874828,,,6.984,79.856215,6.486101,13.069073,0
13082,13082,0.112513,0.586938,0.056111,2.889887,-33.4689,,0.047597,3.809615,1.106715,0.721838,0.040695,-0.13667,0.032088,0.106631,877.685549,0.320706,3.010977,0.120247,-0.003366,63.280276,1.302219,,0.080697,0.154557,0.722343,0.680462,,1.332172,4.593327,0.443609,0.045549,127.143731,2.711307,-0.139567,0.04263,2.109703,,0.472815,0.03573,0.584177,0.388589,,141.28955,104.070209,-0.419238,0.715317,46.562869,0.055253,0.023313,2.866341,0.22271,0.24413,1.86428,1.399458,2683.921922,0.107352,,,,21.7274,5.64508,59.553272,5.843161,4.740619,0
10466,10466,,0.314125,0.11673,1.114412,46.4614,,0.128754,2.770964,0.929204,0.569975,0.130549,0.225601,0.038881,-0.001233,-897.956865,0.578609,1.10314,0.030294,0.09017,,1.225115,,,,0.544858,,,-0.720405,5.097199,0.172347,-0.017323,178.075379,3.78596,0.405376,0.142867,1.118605,,0.701018,0.091168,0.388173,,,167.292671,32.896949,,1.05146,,,,0.652763,0.463302,0.442442,2.21674,1.282708,-3350.543107,0.070247,,0.889449,,,4.271028,162.655285,5.854914,7.52309,0
12329,12329,0.069117,0.630884,0.123101,5.311317,-11.978289,,-0.009093,0.800062,1.579535,0.514277,0.230436,1.02024,0.037832,-0.008906,3337.58765,0.568049,5.627683,0.177118,0.095926,,1.414481,,0.04586,,0.104524,-0.205342,,,3.555256,0.368711,0.147497,61.510797,3.504909,6.848421,,1.860537,,0.585987,,1.505852,,,145.14081,69.744531,,0.184118,,,,1.879392,0.463947,0.320958,,,1524.831701,-0.001272,-0.083859,0.852673,,,7.267763,85.517819,5.09602,,0
12562,12562,,0.277178,0.464228,2.608847,-166.27022,,0.054006,1.934159,1.483864,0.443123,0.092505,0.624974,0.205041,-0.04704,702.528117,0.142303,6.701282,-0.007273,0.064235,,1.222194,,,,0.395691,1.285765,,,3.379349,0.139287,0.146185,,,,0.041986,1.313363,,0.434924,0.06573,-0.379416,,,157.919893,82.572439,,0.445948,,,,2.92123,0.514882,,,,815.213435,,,0.605047,,,11.237683,87.778595,10.356731,,0
10785,10785,0.152862,0.319703,0.169413,1.233453,-3.913654,,0.147815,3.309128,2.584853,0.381675,0.288413,0.651965,0.03732,0.282632,-419.259299,0.443368,0.786352,0.258827,-0.007229,,,,0.091165,,0.579714,1.543931,,,3.502146,0.002788,0.017756,72.218382,6.320778,4.804819,0.248503,2.821266,,0.403548,0.009192,0.677057,,,112.58402,39.361141,,1.229943,,,,2.710194,0.218889,0.175875,,,1837.165011,0.048418,-0.004045,1.003431,,,9.869545,52.387664,13.480691,,0
11874,11874,,0.42457,0.114234,2.852369,36.732015,,0.016922,2.117998,1.169155,0.545538,0.147032,0.499097,0.103867,-0.00462,5080.135984,0.466465,2.182251,0.116793,0.016089,,,,,,0.411294,0.326775,,-0.531289,4.097942,0.039602,0.024624,73.360982,7.150169,1.247455,0.114157,1.848273,,0.743762,0.040295,1.332345,,,164.437569,109.886489,,2.556475,,,,1.138649,0.167423,0.112141,1.452287,1.938202,1126.70554,0.071766,,0.955477,,,5.778081,98.420975,4.750605,20.742269,0
13138,13138,0.069038,0.658913,0.159074,1.645181,-223.828894,,0.129343,1.762356,0.939351,0.616588,0.097186,0.19676,0.216567,0.042318,-7900.028997,0.022631,1.553185,0.002014,0.138596,43.109543,1.721266,,0.122139,,0.190421,0.379856,,0.434899,5.453523,0.389372,-0.053001,46.906721,3.514967,1.049869,0.156126,2.038729,,0.473976,0.023972,-0.087305,,,155.986987,119.97425,11.675663,0.938956,36.796346,,,0.501234,0.266283,0.195719,0.518309,1.833717,9975.03005,-0.006534,,0.904616,,-86.621334,3.556588,201.83307,3.707234,8.63019,0
11042,11042,,0.479777,-0.044094,1.800769,13.263859,,0.308753,2.967145,4.917127,0.242896,-0.106136,0.370674,0.065427,0.117417,9290.520429,2.604989,2.608656,0.371896,0.027517,,,,,,0.337408,-0.294148,,,3.70748,0.117248,0.048176,,,,,3.279217,,0.666632,,0.638537,,,48.128664,44.638246,,1.039415,,,,2.036768,,,,,322.687277,,,0.931119,,,15.66986,66.185418,16.183707,,0
14645,14645,,0.495555,0.535997,1.599571,-29.952054,,0.198906,4.006465,1.727381,0.482394,0.203792,0.670013,0.147613,0.023601,2768.600224,0.885644,4.567811,0.003256,0.085934,,,,,,,0.552476,,4.097697,3.994657,0.261167,0.073132,,7.147984,4.386244,0.001872,1.777705,,0.594497,0.120319,-0.314155,,,82.781799,51.437273,,1.44306,,,,4.406112,0.359409,,-3.145882,9.566115,2898.665458,,,0.829968,,,4.719961,67.270034,11.205583,15.820195,0
10862,10862,,0.488785,0.641094,4.00247,9.971669,,-0.078946,3.213976,2.311921,0.811386,0.163054,1.076609,0.09212,-0.083912,15390.332868,-0.43606,5.244147,0.254474,-0.021038,,,,,,0.206962,-0.122316,,,2.90839,0.441742,0.06902,,,,,1.407872,,0.482927,,1.494325,,,63.501888,91.506271,,3.027292,,,,7.454051,0.593312,,,,472.891636,,,1.038317,,,11.59195,12.558642,9.271018,,0
11481,11481,0.061315,0.615898,0.446735,1.765736,25.758366,,0.180823,2.027905,1.389747,0.231207,0.157532,0.020719,-0.018154,-0.047166,-1005.903234,0.60751,3.039035,-0.066845,-0.037147,,,,-0.052393,,0.59785,0.777693,,,3.55066,0.24685,0.028531,144.523296,5.953082,6.750191,0.077395,2.250999,,0.722851,0.016855,-0.365229,,,,,,1.508605,,,,0.448693,0.201483,0.235633,,,1999.435058,0.076995,-0.222605,0.853461,,,,78.422286,4.000359,,0
12281,12281,,0.213669,0.395492,4.452029,-331.702859,,0.051616,5.670652,2.200811,0.676287,0.078435,-0.118718,0.202123,-0.037783,-1174.158046,0.505004,2.399346,0.155745,0.111956,,,,,,0.219312,1.208335,,,3.459264,0.252789,0.165079,,,,0.044608,2.321503,,0.671959,0.023031,0.797619,,,81.277036,62.736323,,0.447969,,,,0.757811,0.200244,,,,924.283898,,,0.803354,,,10.692149,50.048447,9.228173,,0
12573,12573,0.037629,0.193,0.446656,1.54968,-53.658467,,0.042822,2.36666,1.446374,0.530546,0.147267,1.017085,0.042619,0.010807,-279.271222,0.419758,3.863205,0.088028,0.053942,,,,0.032689,,0.508387,-0.093742,,4.46983,4.224709,0.293955,0.0765,99.077539,11.175234,3.854576,0.055635,1.117289,,0.732406,0.099331,0.723357,,,95.340429,56.81822,,2.658178,,,,3.416636,0.154006,0.232213,4.010251,-0.202538,5245.334427,0.089153,0.192494,0.968038,,,5.858049,46.046372,2.364846,11.639312,0
13799,13799,,0.67844,-0.165274,-1.139523,187.906553,,0.024772,9.414839,2.021741,0.510529,0.090815,0.804832,0.102327,-0.054472,25691.825479,-0.264261,9.033401,0.122532,-0.146672,,,,,,0.471509,0.893579,,,3.079163,0.488636,0.111058,142.66955,5.176479,1.565035,0.105918,2.505796,,0.042769,0.071477,0.10048,,,,,,4.714126,,,,2.863983,0.463733,0.555908,,,-274.776126,-0.076086,,0.889292,,,,131.297526,8.585376,,0
11145,11145,0.088953,0.466564,0.286101,1.953558,38.494254,,0.039778,1.371432,1.880987,0.608871,0.089559,0.066082,0.060705,0.122179,4942.681231,0.335768,3.296466,0.052227,-0.014207,,,,-0.022705,,-0.06443,0.319337,,,3.421105,0.224004,0.044864,139.324216,4.089729,5.050703,,1.911377,,0.622745,,-0.202487,,,143.882173,123.462086,,1.758722,,,,1.683938,0.662237,0.150345,,,55.795102,0.065523,0.143174,0.892588,,,3.967547,108.140928,2.92959,,0
12483,12483,,0.419249,0.24999,4.66253,-26.619037,,0.155823,5.453005,1.283719,0.608644,0.174376,0.183488,0.120361,0.179531,3668.828418,0.76636,5.115303,0.236873,-0.002108,,,,,,0.736035,0.190756,,2.972224,4.031269,0.248187,0.064543,56.158017,7.144681,4.931526,0.250184,1.654833,,0.666734,0.11834,0.291303,,,121.243342,76.874121,,0.832699,,,,3.567281,0.365282,0.149525,5.861801,-0.901879,4854.977536,0.077539,,0.889816,,,7.615243,70.737682,4.675903,3.479506,0
10004,10004,,0.265453,0.375893,2.252999,55.085432,,0.138788,0.577564,1.551156,0.55325,0.076862,0.473194,0.062911,0.204196,1354.871672,0.012588,4.951187,0.060009,0.043525,,,,,,0.329987,-0.023477,,-1.19095,3.970831,0.207517,0.035697,101.754376,7.51726,0.733762,0.086514,1.947071,,0.612593,0.011817,-0.023628,,,154.921831,63.803395,,3.065773,,,,2.961249,0.23628,0.327875,3.21369,0.098613,2401.287601,0.16641,,0.908208,,,3.810751,62.15827,9.345914,20.188812,0
15196,15196,,0.157419,0.442244,2.422431,106.274585,,0.057949,6.545052,2.753627,0.594161,0.096158,0.70189,0.152064,-0.032169,17271.828419,0.18336,8.80438,-0.095984,0.055847,,,,,,-0.116743,1.054292,,,2.64801,-0.095753,-0.114665,193.447285,9.336032,10.239649,,1.101103,,0.772308,,1.732514,,,73.77878,51.006649,,-0.916332,,,,2.344417,0.196737,0.130004,,,109.668978,-0.129863,,1.02535,,,9.398319,260.26812,12.279678,,0
12111,12111,0.126102,0.604647,0.277274,2.091267,-62.272264,,0.001333,0.41625,1.30213,0.567117,0.079232,0.380746,0.110493,0.129685,5761.168351,0.288638,3.968416,0.024097,0.068166,,,,0.075851,,0.327488,0.36048,,-3.602841,3.957421,0.181019,-0.0098,140.649132,3.361422,1.391323,0.149335,2.086875,,0.59936,0.063351,0.455639,,,89.366718,89.842572,,0.79159,,,,1.732683,0.492631,0.484439,-1.456454,5.474891,2429.98545,0.017717,0.084752,0.906112,,,6.752879,136.605276,3.749598,-10.37327,0
10419,10419,,0.71248,0.131518,1.123301,-30.670874,,0.061001,0.059305,2.978746,0.455848,0.255315,-0.350992,0.06774,-0.033802,-1565.211463,0.145081,2.109521,0.036164,-0.022639,,,,,,0.036381,0.075734,,,3.317862,0.183717,-0.007655,60.269142,8.965144,9.483401,,3.345447,,0.521643,,-0.048836,,,113.722908,54.463528,,0.391915,,,,1.422267,0.360305,0.281987,,,1124.901651,0.031032,,0.947939,,,6.228063,48.425295,8.606694,,0
14816,14816,,0.396465,0.371927,1.096855,-61.488056,,0.040299,2.469677,1.106121,0.709752,0.041664,0.318488,0.027714,0.056596,-6314.857369,-0.045053,3.361076,0.123277,0.127566,,0.886166,,,,0.444774,0.749501,,-0.225597,4.737012,0.15686,0.133486,55.073839,5.357546,0.904868,,0.875251,,0.487101,,1.05916,,,89.808381,45.080267,,0.595444,,,,0.437296,0.37408,0.229516,0.60174,1.006366,20957.266126,0.140671,,,,,5.288038,41.613122,3.283702,30.968671,0
10623,10623,0.122548,0.505504,0.428889,3.860805,51.0664,,0.092535,0.051218,1.282543,0.662889,0.136923,0.517206,0.103416,0.07962,5117.117475,0.135752,2.314807,0.003213,0.085691,69.789645,,,0.011206,,0.697854,0.118512,,-1.444663,4.287179,0.323124,0.02089,80.222867,7.868187,0.920711,0.033845,1.965178,,0.54858,0.063231,1.062722,1.567985,,165.252795,38.039625,6.856855,1.884927,29.224684,,,2.138594,0.319961,0.118084,3.685662,1.687368,7686.978329,0.133095,0.294628,0.954092,,24.969308,4.971397,120.168131,3.330015,7.300334,0
14988,14988,,0.401317,0.361186,0.983124,-58.899808,,0.183126,0.294866,1.201649,0.621104,0.049015,-0.324458,0.082908,0.063587,1881.964651,0.397717,4.722104,0.150168,0.093518,,0.893375,,,,0.719872,0.69232,,2.045975,4.879412,0.199921,0.152347,103.268575,7.244169,2.883374,,1.65367,,0.739168,,-0.141375,,,136.98172,35.969533,,2.443496,,,,1.512353,0.422855,0.185433,0.870329,1.865633,14538.486706,0.091951,,0.919719,,,9.250916,100.659628,8.284595,1.361935,0
11126,11126,0.082824,0.604819,0.175989,2.192927,-3.41584,,0.118395,4.078969,1.111728,0.443045,0.110384,0.202776,0.114717,0.031033,2933.571469,0.503213,4.488027,0.095952,0.061727,81.45783,1.042625,,0.038473,,0.421496,0.429935,,1.706726,4.475346,0.489003,0.051948,120.895304,4.153921,0.116551,0.116447,1.442318,,0.52245,0.07109,0.453478,-1.712269,,167.201362,60.778335,0.725901,2.048043,100.39859,0.046869,0.078132,1.559786,0.325649,0.149746,1.717319,2.690427,4332.494722,0.088147,,,,6.371688,7.733931,50.742036,6.992143,8.318851,0
14154,14154,,0.619848,0.094353,2.192427,-129.615975,,-0.028341,0.797971,0.890503,0.582758,0.02841,0.245912,0.011469,-0.05539,-8862.492594,-0.092024,3.797758,-0.015731,0.114381,48.094537,1.102023,,,,0.285878,,,-0.138805,4.878315,0.351973,0.018158,105.872953,3.387797,-0.121827,0.072244,1.655897,,0.687826,0.037217,0.592849,,,164.904052,30.796372,,0.500028,30.356426,,,0.67682,0.503224,0.512119,1.709282,1.887407,-469.319696,-0.01852,,0.986199,,16.489694,9.637716,189.019494,4.972322,5.913483,0
11139,11139,,0.480865,0.216641,6.27962,-6.525718,,0.157037,-0.44121,1.95587,0.632827,-0.020943,1.223403,0.067595,0.283555,-965.956701,2.134759,1.355691,0.237026,-0.004347,,,,,,0.327184,0.981959,,,3.458723,0.111902,0.12277,,,,0.257909,2.304619,,0.797534,0.116464,2.29447,,,65.677901,57.10274,,-0.125837,,,,1.78228,0.318147,,,,571.504044,,,0.736831,,,6.735022,19.802921,15.76664,,0
12531,12531,,0.310116,0.366244,3.609914,,,0.123802,4.052263,1.37118,0.579181,0.058379,-0.195484,0.168672,0.021034,4843.294465,0.42675,2.700015,0.027736,0.183165,71.883098,,,,,0.446659,0.229845,,36.491659,5.782433,-0.009259,0.044054,,6.803671,1.254767,,1.387235,,0.544813,,-0.058483,0.088584,,177.448675,,,3.367477,202.250481,-0.021019,0.001365,2.890502,0.281343,0.615912,-1.460502,-7.347446,120058.477044,,,0.863254,,58.32571,,114.049769,3.090509,29.482416,0
13644,13644,,0.760361,0.122632,7.152408,-96.446856,,0.214382,4.220831,2.666483,0.825044,-0.079735,1.448933,-0.065051,0.087982,13326.605109,1.254699,0.261143,-0.044856,0.052962,,,,,,-0.145924,0.417589,,,2.651867,-0.087306,0.054605,,,,,2.205473,,0.866997,,-1.030148,,,193.80995,109.773119,,1.756193,,,,2.590357,0.67967,,,,413.46289,,,1.04375,,,16.973225,108.853859,11.201769,,0
11696,11696,,0.521613,0.478954,2.489652,16.171225,,0.074215,1.39794,1.586955,0.487645,0.153161,0.040099,0.118243,0.10023,2807.692317,0.831355,3.312725,0.008784,-0.005905,,,,,,0.242598,0.661686,,0.94067,3.834778,0.04816,0.00198,,7.53734,4.217974,0.032616,1.540408,,0.624498,0.102565,0.30841,,,70.314328,70.115067,,2.658583,,,,0.9189,0.309357,,0.273938,4.926774,999.672914,,,0.965408,,,8.2957,98.192813,4.124186,13.694622,0
