LINK_COL,Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
C10801,C10801,-0.008445,0.451516,0.116359,3.081687,-30.861256,,-0.001269,4.216753,0.935835,0.536458,0.089536,0.375999,0.05408,0.110437,4238.065785,0.445569,5.954305,0.082291,0.028967,70.992974,1.39906,0.10012,0.005228,0.325454,0.623825,0.475299,,3.64706,4.151134,0.148169,-0.004897,96.223778,4.832452,-0.039857,0.09564,2.402491,,0.65976,-0.006122,0.814906,-1.426643,0.046034,78.360866,52.602246,0.298368,2.395659,32.886807,0.032169,0.027923,3.043817,0.275531,0.215706,1.776024,1.595927,3345.90373,0.063539,0.066359,0.937245,,2.374863,6.229144,70.183153,5.587732,3.265333,0
C14072,C14072,0.121327,0.334471,0.278999,1.851043,48.826502,,0.033452,2.173174,1.078128,0.594635,0.113698,0.02751,0.047695,0.044376,1992.912014,0.107435,1.787234,0.140257,0.017765,33.194697,1.025718,0.054572,0.048293,0.027834,0.581771,0.212303,,-0.364002,4.675257,0.33747,0.052602,108.290505,3.341308,0.054484,0.122736,1.188589,,0.638661,0.048389,0.363181,0.119779,0.025415,132.818841,69.223692,1.150782,1.718981,57.667111,0.109507,0.051237,1.400356,0.371366,0.352717,2.579326,0.677507,18653.98825,0.047089,0.043429,0.981216,,7.122122,5.057059,94.751188,4.090246,-1.456772,0
C11753,C11753,0.041954,0.387383,0.15175,0.895367,-23.257882,,0.115164,1.38546,0.980426,0.516294,0.022906,-0.018084,0.117695,0.016344,1944.499018,0.323409,6.186907,0.057075,0.071457,42.381857,1.275798,0.042097,0.058598,0.247536,0.486111,0.484591,,0.310621,4.800307,0.455919,0.04472,57.40585,5.760875,1.335863,0.116778,1.752795,,0.552421,0.102148,0.653479,0.216014,0.057164,105.377611,60.782712,0.451483,0.560878,27.890537,0.052888,0.029785,1.1065,0.28321,0.346165,0.519933,0.92766,-2530.361532,0.101161,0.180268,0.989227,,10.893803,6.515305,55.65855,6.34481,4.471895,0
C13721,C13721,0.09598,0.644608,0.088343,1.146127,-31.118147,,0.129388,1.375872,1.287752,0.578902,0.132158,0.378611,0.14316,0.07523,1608.941181,0.509953,1.844011,0.12128,0.110307,94.210921,1.34235,,0.037795,0.370496,0.239492,0.332777,,0.039781,4.249103,0.428,0.042492,155.634441,4.68136,1.645779,0.088408,1.33263,,0.527818,0.026902,-0.014673,0.214981,,120.363641,78.553731,0.617151,0.552612,57.073725,0.102707,0.050577,0.702449,0.356687,0.238134,1.392599,1.360184,4616.784334,0.084476,0.394778,0.933623,,4.344295,4.736639,113.799477,5.609638,3.18145,0
C12372,C12372,0.05971,0.3778,0.131822,1.780806,50.661397,,0.023303,0.115359,1.135775,0.36547,0.117175,0.345196,0.073794,0.082039,10645.03245,0.211852,2.697718,0.035887,0.015211,20.010326,1.427888,,0.057664,0.236682,0.261091,-0.012794,,-0.160114,4.105452,0.21855,0.024426,82.065549,4.636904,1.780824,0.055748,1.302004,,0.719599,0.029697,0.346703,0.029309,,131.724869,101.473752,0.071445,1.79356,53.583728,0.06143,-0.022141,1.733148,0.274933,0.181445,3.242921,3.932541,723.50315,0.046121,-0.006117,0.929583,,71.154203,4.313631,61.782987,3.066782,6.279375,0
C13969,C13969,0.068788,0.144558,0.492649,3.35221,84.435013,,0.071603,4.192664,1.15266,0.552293,0.28346,0.368,0.13507,0.052309,-1477.425166,1.209234,5.240644,0.15856,0.042387,77.789642,1.259224,,0.094995,0.507514,0.546762,1.659074,,1.098912,4.327094,0.25253,0.14579,32.766905,4.778077,-0.151529,0.266635,1.473072,,0.726745,0.089766,0.078761,5.116157,,114.782207,46.86661,0.181158,2.350679,108.271717,0.079781,0.024224,3.924167,0.203252,0.269512,1.458017,1.420231,4127.805646,0.115243,0.312306,0.909444,,7.08391,7.374903,73.259818,6.602195,2.478325,0
C13974,C13974,0.091157,0.494506,0.133739,1.95334,22.239043,,0.127196,1.462987,1.132248,0.403133,0.070558,0.208319,0.140496,0.028691,758.67573,0.495386,3.08575,0.093622,0.06873,48.76991,1.331409,,0.058431,0.231367,0.341049,0.380307,,0.35547,4.573832,0.248824,0.071603,74.623317,2.372378,0.164865,0.065651,1.410886,,0.559184,0.103701,0.081613,0.066756,,119.661667,63.694378,0.884207,0.700647,49.420333,0.009897,0.074124,0.819629,0.385094,0.212527,0.857892,1.264764,3751.453642,0.036635,,0.902468,,5.6172,6.100764,83.091142,5.731812,3.602133,0
C12522,C12522,0.015168,0.579965,0.053207,1.37147,-60.295742,,-0.009081,2.484811,1.251141,0.70023,0.16564,0.330103,0.148395,0.001378,6681.465983,0.019036,3.665653,-0.012521,0.090825,65.779079,1.320503,,-0.013449,0.20512,0.639309,0.459244,,0.121972,5.467118,0.179386,0.129516,134.71064,2.659526,-0.344027,0.026903,1.652207,,0.557071,0.141372,0.188282,0.186232,,139.78957,66.484155,0.078534,1.024465,28.345083,0.06716,0.037302,0.670484,0.215682,0.349723,1.150327,1.159834,20175.36593,0.195585,,0.838917,,9.024028,6.802417,143.387425,4.0259,1.79087,0
C15335,C15335,-0.025738,0.507313,0.069521,1.173222,-40.183326,,0.092452,1.23829,1.068066,0.461314,-0.029084,0.121891,0.102644,-0.00511,1989.77451,0.270039,2.430768,-0.009986,0.051424,33.273003,1.251756,0.090806,0.020784,0.000293,0.316832,0.28974,,0.25493,4.510165,0.450957,0.044758,60.19426,7.061444,-0.18723,0.064612,2.083976,,0.515824,-0.013233,0.133595,0.159772,0.030484,123.170651,61.831746,0.579425,0.92795,56.638393,0.010991,0.012671,0.700181,0.311201,0.151249,0.814424,0.920627,5870.279645,-0.007465,0.102904,0.99693,,36.389414,5.823533,124.824851,4.052992,5.154256,0
C11906,C11906,0.124764,0.488042,0.248408,1.325988,7.189645,,0.105242,1.795844,1.059947,0.578719,0.03553,0.347334,0.125622,0.011877,5636.073897,0.266132,1.561532,0.069697,0.022464,19.893513,0.995281,0.056525,0.054117,-0.006565,0.601621,0.295051,1.250706,0.716017,4.240687,0.316461,0.088347,56.950121,4.838659,0.562154,0.118592,1.091836,,0.711634,0.098969,0.108174,0.103625,0.081512,58.835901,43.870142,1.145307,1.10739,57.122932,0.044932,0.0151,0.791739,0.450382,0.238073,1.542738,1.076809,4585.366548,0.041939,0.037261,0.934185,,88.719419,8.952475,71.82378,7.752464,8.01352,0
C10964,C10964,0.059483,0.828144,0.077949,1.314397,-22.335823,,-0.032864,1.365775,2.249543,0.343999,0.086745,0.290113,0.061089,-0.007085,-3399.807126,0.38471,1.983438,0.054722,-0.017379,50.143126,0.898029,0.169988,-0.040905,,0.311367,0.333039,6.281027,1.74775,3.560053,0.337973,0.043456,58.442372,3.090865,2.390567,-0.021282,2.308034,,0.326924,0.054934,-0.01425,0.15129,-0.004535,126.865258,45.976955,0.639608,1.194617,35.485132,0.054596,0.046267,0.775147,0.487699,0.291736,-1.209417,4.561677,846.369907,-0.017119,0.226602,1.037673,,30.438003,7.39822,105.805505,4.429165,-7.632261,0
C12437,C12437,0.106216,0.540646,0.171981,1.944335,48.645705,,0.165572,3.501271,2.879922,0.641999,0.260851,0.206493,0.044403,0.237038,1151.901857,0.75206,3.613913,0.109911,0.072563,21.110525,1.116174,,0.016704,0.203358,0.523659,0.295368,,,3.695034,0.059456,0.058461,65.906732,8.801892,10.541816,0.159772,2.969605,,0.396449,0.067929,0.851259,0.088284,,79.932462,67.448157,27.091125,1.082523,19.108806,0.016878,0.046046,1.361329,0.402573,0.129347,,,1535.516798,0.08175,0.446501,0.969545,,185.258109,9.91097,45.338021,8.607342,,0
C13031,C13031,0.121299,0.449561,0.264928,2.780917,8.456423,,0.129016,1.594532,1.015317,0.522445,0.153041,0.445213,0.051541,0.034245,2271.876182,0.038988,4.285799,0.074327,0.008333,62.65129,1.255278,0.168495,0.100331,0.116222,0.556429,0.11382,,3.095636,5.17412,0.336665,0.077778,51.603816,6.546469,1.399701,0.086326,1.029008,,0.680003,0.020738,0.023488,0.116658,0.099269,167.340378,74.801781,-0.23835,1.241209,32.378423,,,2.40296,0.180511,0.25381,4.375938,1.933223,34061.62156,0.104811,0.110953,0.901341,,10.837162,3.056942,43.108389,6.036937,8.032473,0
C13082,C13082,0.05696,0.475505,0.303139,2.4438,24.928639,,0.136844,2.675897,1.013271,0.575857,0.074215,0.218359,0.058856,0.04189,786.185784,0.16598,1.691095,0.072735,0.032279,56.332693,0.993709,0.150599,0.03641,0.272611,0.568018,0.334526,0.929991,0.612215,4.588541,0.201713,0.056228,79.505941,7.078782,0.477521,0.077544,2.088109,,0.618752,0.034946,0.489589,0.123252,0.064585,105.845723,70.317177,0.609668,0.783953,59.059603,0.073789,0.048211,1.169897,0.357701,0.194314,0.709976,1.646724,7477.750594,0.071936,0.244107,0.940207,,7.273645,7.084137,58.636962,7.473085,5.472514,0
C10466,C10466,0.096315,0.521609,0.089432,1.574051,-14.196808,0.322043,0.056733,1.415995,1.138035,0.450664,0.081725,0.159422,0.097828,0.105725,712.34339,0.40321,1.807353,0.011413,0.039291,33.772418,1.279188,,0.08802,0.217848,0.49645,0.515362,,0.101525,5.220939,0.489356,0.104345,151.693681,4.197206,0.411906,0.074823,1.189399,,0.634012,0.090029,0.605297,0.256635,,85.358556,62.385741,-0.771227,0.845787,55.707224,0.033383,-0.02287,0.840659,0.267579,0.192575,0.856355,1.108037,6667.644951,0.149642,,0.885809,,38.851048,9.040601,113.915805,5.3643,1.20518,0
C12329,C12329,0.169026,0.229769,0.306613,4.712301,17.664324,,0.211526,2.728921,1.172467,0.822662,0.182309,1.589163,0.116162,0.098148,4286.791682,1.076041,5.492461,0.042821,0.009141,37.32814,1.43809,,0.025856,0.364186,0.283907,1.001407,,15.841711,3.570462,0.233687,0.077018,36.673698,6.751291,2.652665,-0.023519,1.27373,,0.717587,-0.011274,0.330694,,,98.942376,84.093369,1.899627,1.481882,32.684723,,,3.804294,0.120232,0.168294,0.428988,-6.422216,943.048477,0.172398,0.179348,0.836094,,10.939519,4.0004,60.015633,7.314145,12.066838,0
C12562,C12562,0.186555,0.453867,0.324307,3.987215,-109.076133,,0.121153,2.316339,1.996373,0.58637,0.266575,-0.466733,-0.000296,0.150553,-863.699799,0.384822,5.067686,0.097046,0.172926,,1.144697,,0.084075,,0.678092,1.206815,,0.59764,3.188333,0.13127,0.020805,,,,0.084833,1.673234,,0.837021,0.095877,0.217603,,,71.067979,29.786616,,2.913665,,,,-0.578638,0.292843,,2.981898,10.233969,792.086994,,0.222262,0.896752,,,8.444245,109.75788,10.268896,13.436052,0
C10785,C10785,0.100868,0.491474,0.57953,2.927857,35.948278,,0.210871,1.593755,3.090703,0.60506,0.123935,1.560487,0.048426,0.06921,2007.851125,1.563578,2.956091,0.36514,0.024392,,0.928296,,0.055093,,0.567716,0.004284,,2.787341,3.456897,0.177892,0.145395,70.107604,9.112295,8.623372,0.203164,3.063771,,0.588952,0.078473,0.058038,,,64.460548,62.996093,,0.722505,,,,2.850085,0.307014,0.123623,7.60852,3.040451,1774.288083,0.016493,0.068476,0.921237,,,9.169822,53.860818,8.243423,50.562784,0
C11874,C11874,,0.4354,0.245868,1.864361,58.625392,,0.071745,2.23206,0.933247,0.566786,0.098497,0.33569,0.084499,0.108292,-3421.677349,0.204915,1.396645,0.103523,0.020697,18.998454,1.364344,0.05578,,,0.44966,0.097579,-1.069942,2.055571,4.105546,0.434093,0.030231,126.733604,6.464402,1.147872,0.088667,1.335856,,0.777794,0.073594,0.089052,0.276099,0.077843,117.53539,94.610704,,1.296439,61.16554,-0.002462,0.012329,2.111213,0.344109,0.320425,2.37729,2.167636,1832.533774,0.014814,,0.922149,,15.723362,3.459324,87.50206,5.723211,5.005952,0
C13138,C13138,0.045749,0.41953,0.123796,1.239299,-92.565327,,0.014371,0.64684,1.068516,0.241316,0.116995,0.126523,0.113699,-0.021756,1462.449071,0.094565,3.819243,0.034203,0.073969,21.197169,1.31156,0.12487,0.071604,,0.414241,0.447618,,-0.215374,5.422882,0.488299,0.015965,85.48916,5.390134,1.868182,0.087664,2.120175,,0.460684,0.028019,0.02563,0.055234,0.080632,147.502992,112.745521,-6.944506,0.766754,17.36917,,,0.884108,0.258214,0.368641,0.512218,0.637754,-3871.719456,0.053267,,0.979345,,-194.757079,4.139409,172.316076,3.511501,12.918901,0
C11042,C11042,0.085583,0.592693,0.4577,2.331083,-5.516121,,0.148595,0.045528,4.550793,0.331131,0.066305,-0.141806,0.038145,0.279104,583.953071,0.363139,3.18833,0.085106,0.012882,,,,0.041625,0.608602,0.35588,0.68979,,-5.954504,3.457064,0.103992,0.010637,33.93139,10.781422,7.183471,0.179707,5.112719,,0.472178,,0.356704,,,66.495844,31.529618,,1.975275,,,,1.057676,0.448614,0.121506,-0.679795,3.574154,166.549629,0.070577,0.103183,0.982095,,,14.1058,53.689011,16.841531,-31.474236,0
C14645,C14645,0.141217,0.397291,0.509069,5.760506,96.550627,,0.086214,3.923499,1.677172,0.690117,0.12035,0.824481,0.093371,0.1434,643.515934,0.186607,6.238685,0.091819,0.106549,33.647221,0.890528,,0.092679,0.292861,0.409582,1.114052,,5.72954,3.963704,0.110945,0.075526,46.24576,8.348629,3.786038,0.265589,1.581377,,0.822505,0.131454,0.535252,-0.122527,,145.153049,56.443896,1.901842,2.077817,31.259518,,,1.460178,0.195724,0.118403,4.131437,-0.698119,4887.358142,0.067086,0.085179,0.932477,,7.652665,6.735272,37.935056,15.5232,9.753313,0
C10862,C10862,,0.337287,0.506249,4.099663,98.282277,,0.207198,0.980991,1.715629,0.636842,0.207177,-0.200935,0.137276,-0.01364,-18.176939,1.279216,4.017143,0.12814,0.063951,,0.8285,,,,0.671774,0.138841,,,2.891098,0.097232,0.141113,46.794849,5.925957,4.345513,0.200377,2.176849,,0.775063,0.008463,0.799507,0.540657,,70.749946,59.363668,,0.19848,,-0.123683,0.039819,1.838947,0.327599,0.061392,,,330.199149,-0.033556,,0.770175,,,10.736378,61.801123,7.502485,,0
C11481,C11481,0.028762,0.554939,0.353273,2.255236,-29.525383,,0.076023,1.974442,1.579177,0.310198,0.004006,-0.071372,0.083658,0.000775,447.345906,0.017503,3.330476,-0.01628,0.040034,37.673537,1.425519,,0.013538,0.245059,0.375551,0.191364,,1.208624,3.597412,0.133975,0.007005,124.413775,4.952376,2.484466,0.04453,1.845009,,0.451965,-0.052117,1.042766,0.342245,,119.409094,55.46627,0.359435,1.955825,28.994637,-0.010126,-0.045206,0.563512,0.425869,0.135684,0.706536,1.388007,1199.644938,-0.005378,-0.14009,0.950904,,4.589524,6.738276,65.67042,3.205216,1.691771,0
C12281,C12281,,0.212865,0.594818,1.062552,82.825141,,0.030078,0.432485,1.976187,0.615325,0.132126,1.092001,0.453436,0.054068,4762.589142,2.866663,4.509103,0.087025,0.046853,,1.225129,,,0.25742,0.203258,2.59568,,4.804632,3.476546,0.318878,0.209735,,,,0.076368,1.96647,,0.543231,0.014753,-0.366477,,,61.645228,64.714914,,0.712595,,,,3.441177,0.307036,,8.043639,6.874714,383.596726,,,0.360605,,,8.621194,98.984259,10.067326,52.529552,0
C12573,C12573,-0.00348,0.270105,0.453363,3.192195,-21.896594,,0.152748,2.64911,1.346915,0.539392,0.031001,1.045821,0.106679,-0.004673,-197.952298,0.182322,1.99646,0.094967,0.059697,159.83886,1.323525,,0.069031,,0.718544,0.226622,,-0.788403,4.187325,0.677891,0.031322,108.467865,3.209511,1.733762,0.087499,1.673803,,0.692473,0.136565,0.613992,,,162.781777,80.971433,0.206907,1.583938,140.247309,,,3.164521,0.407167,0.137307,4.471756,8.969632,5201.803122,0.134643,0.075529,0.955559,,2.864356,7.720859,52.119658,6.71449,16.169467,0
C13799,C13799,0.029868,0.622978,0.083045,3.694203,171.335149,,-0.089092,3.426037,0.541057,0.276731,0.052961,0.749445,0.135605,-0.033075,24144.51327,0.431065,9.578659,-0.041514,0.003393,,,,0.094081,0.086757,0.53499,0.264243,,-1.88148,2.973971,2.467443,0.022157,303.948699,0.572309,-0.31924,0.095721,0.036863,,0.822851,0.082161,1.836125,,,,,,1.943711,,,,1.5133,0.762877,0.367807,-1.029915,-2.855801,-72.638904,0.045453,0.156415,1.116855,,,,252.353176,7.765464,5.016801,0
C11145,C11145,0.063509,0.702168,-0.006241,1.264109,-65.622829,,0.120689,0.466419,2.25714,0.146105,0.028883,-0.127464,0.018442,0.01389,15327.31917,-0.010523,1.062816,0.039755,-0.011855,6.457194,1.263286,,0.026468,,0.360615,0.063326,,-0.757891,3.508362,0.176145,0.020365,111.324361,4.499325,3.682195,,2.15456,,0.130334,,0.181686,,,171.214359,122.147727,1.363934,0.571587,35.674913,,,1.366703,0.836448,0.291005,1.653185,1.979664,180.649359,0.015457,0.32992,0.954094,,177.477322,4.513726,88.341899,2.739595,46.543107,0
C12483,C12483,0.148898,0.413308,0.370965,2.133253,54.834457,,0.249087,1.144546,1.083397,0.624495,0.086678,1.508537,0.079021,0.190832,133.810366,0.376422,4.900999,0.299218,0.012494,60.597906,1.281616,,0.030065,,0.433049,1.039471,,1.952957,4.084686,0.186872,0.115917,61.260572,3.96539,3.254592,0.072262,1.253757,,0.752607,0.024438,0.096398,0.140261,,129.797588,68.31821,0.401063,1.683786,79.941746,0.107968,0.040006,3.494213,0.224859,0.140795,2.247577,1.733551,3590.518984,0.103549,-0.028974,0.865131,,10.436503,8.456043,91.369082,7.421227,5.602711,0
C10004,C10004,0.093772,0.48978,0.148293,2.590469,-35.230355,,-0.011503,1.149628,1.284577,0.527004,0.073833,0.71677,0.267995,0.007442,2461.171629,0.427986,3.045516,0.212855,0.126673,74.35652,0.97374,,0.146389,,0.162924,0.788118,,1.809686,3.976148,0.420765,0.175239,38.385875,3.914372,1.956045,0.016484,1.096653,,0.718467,0.041406,0.019885,,,133.324087,84.968064,1.083757,1.679455,123.059417,,,0.945318,0.154301,0.382319,1.948461,1.669238,3226.061536,0.103929,0.108716,0.838038,,18.884433,3.470506,99.966981,5.007513,7.10258,0
C15196,C15196,,0.491653,-0.124028,2.166571,-105.146351,,0.132124,-0.396816,1.001194,0.325918,-0.145648,0.123796,0.0208,-0.038739,5554.101858,0.436844,2.767666,0.106336,-0.138259,,,-0.065687,,,-0.283281,0.087209,,,2.68905,0.794919,0.100877,244.250864,6.595609,2.732284,0.107558,1.697367,,0.125204,-0.059547,0.669916,0.236965,0.024117,81.021706,123.220168,,0.768439,,-0.082588,0.09959,1.676042,0.357977,0.172987,,,-135.041065,-0.131589,,0.925185,,,3.557721,209.689759,4.253684,,0
C12111,C12111,-0.067467,0.505673,0.271907,1.151351,19.903843,,-0.04159,0.725829,1.03818,0.404962,-0.025564,-0.062929,0.030076,-0.021385,1007.911081,0.255757,2.313898,0.022754,0.047251,38.754401,,,0.050158,0.104662,0.533617,-0.116774,,1.079161,3.911282,0.258195,0.048934,70.517656,5.936113,1.20047,-0.000686,0.852983,,0.535786,0.009465,-0.022377,0.452395,,159.256041,61.080639,-0.831423,0.760675,52.468782,-0.138929,0.04704,0.696355,0.346802,0.328614,1.049608,2.593577,1454.078782,-0.063476,0.231487,1.052598,,16.889162,8.511528,122.12306,3.629106,11.219729,0
C10419,C10419,0.065757,0.573083,0.320089,1.958989,4.625789,,0.240935,0.636333,3.403797,0.610895,0.275628,-0.124192,0.068867,0.09694,1660.049719,0.079154,2.827483,0.268367,0.06139,17.309046,0.981041,0.140859,0.020689,,0.327242,0.1021,,2.543715,3.422661,0.111994,0.037121,73.90611,6.316248,4.40311,0.246326,3.027667,,0.59756,0.010661,0.337924,0.160999,0.029243,59.376927,55.360469,1.182803,0.718445,35.708432,-0.057298,-0.024255,1.422976,0.438892,0.214738,3.841677,1.296772,657.281339,0.004301,0.117252,0.976177,,13.01196,5.173856,38.134134,5.631589,-0.731136,0
C14816,C14816,0.082675,0.566745,0.131946,1.992622,-8.778586,,0.026979,0.179929,0.959322,0.437022,0.092317,0.221461,0.151271,0.107545,3231.443818,0.100647,3.270937,0.137077,0.058486,58.717416,1.120391,0.087451,0.020364,0.205477,0.499992,0.058826,,0.091411,4.763425,0.424057,0.022385,75.27064,4.700478,0.749816,,0.913588,,0.731219,,0.458633,-0.511115,0.093223,89.503999,57.036515,0.20762,0.661454,78.417851,0.108091,-0.026014,0.711777,0.395521,0.146307,0.806145,1.158011,5327.86598,0.05482,0.143026,0.954416,,8.735527,5.747642,124.767655,4.663484,3.332047,0
C10623,C10623,0.055487,0.34992,0.133621,1.763182,-31.323745,,0.092007,1.381705,1.140957,0.655448,0.152652,0.431117,0.111452,0.112153,-830.068245,0.098437,1.326906,0.056235,0.066669,56.587442,1.403396,,0.096109,0.47227,0.366164,0.189718,,0.363523,4.28771,0.39762,0.09689,138.645037,3.551707,1.812523,0.200529,0.978152,,0.719369,0.136244,0.233441,-0.049785,,154.284698,58.487467,1.073757,1.132482,92.443621,,,0.7967,0.40258,0.438714,0.92148,1.44315,4434.174327,0.117564,0.190609,0.903958,,6.872505,4.595988,100.400636,5.443492,3.422476,0
