,MSID,target-label,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
49,49,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,BROAD,BROWN,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
50,50,EDIBLE,FLAT,FIBROUS,WHITE,BRUISES,NONE,FREE,CLOSE,NARROW,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SOLITARY,WOODS
51,51,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,NARROW,PINK,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SOLITARY,WOODS
52,52,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,BROAD,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,PURPLE,SEVERAL,WOODS
53,53,EDIBLE,FLAT,SCALY,BROWN,BRUISES,NONE,FREE,CLOSE,NARROW,WHITE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
55,55,EDIBLE,CONVEX,FIBROUS,GRAY,BRUISES,NONE,FREE,CLOSE,BROAD,BROWN,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
57,57,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,BROAD,WHITE,TAPERING,BULBOUS,SMOOTH,SMOOTH,GRAY,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SEVERAL,WOODS
59,59,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,ANISE,FREE,CLOSE,BROAD,PINK,TAPERING,BULBOUS,SMOOTH,SMOOTH,PINK,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SOLITARY,WOODS
72,72,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,BROAD,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
73,73,EDIBLE,CONVEX,FIBROUS,WHITE,BRUISES,NONE,FREE,CLOSE,BROAD,PINK,TAPERING,BULBOUS,SMOOTH,SMOOTH,GRAY,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
74,74,EDIBLE,FLAT,FIBROUS,GRAY,BRUISES,ALMOND,FREE,CLOSE,BROAD,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SOLITARY,WOODS
75,75,EDIBLE,FLAT,FIBROUS,GRAY,BRUISES,NONE,FREE,CLOSE,BROAD,WHITE,TAPERING,BULBOUS,SMOOTH,SMOOTH,GRAY,PINK,PARTIAL,WHITE,ONE,PENDANT,BROWN,SEVERAL,WOODS
76,76,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,NARROW,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,PINK,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
78,78,EDIBLE,CONVEX,FIBROUS,RED,BRUISES,NONE,FREE,CLOSE,NARROW,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SEVERAL,WOODS
79,79,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SEVERAL,WOODS
80,80,EDIBLE,CONVEX,FIBROUS,GRAY,BRUISES,NONE,FREE,CROWDED,BROAD,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,PINK,PINK,PARTIAL,WHITE,ONE,PENDANT,BROWN,SOLITARY,WOODS
81,81,EDIBLE,CONVEX,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,BROAD,WHITE,TAPERING,BULBOUS,SMOOTH,SMOOTH,GRAY,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SEVERAL,WOODS
82,82,EDIBLE,FLAT,FIBROUS,BROWN,BRUISES,NONE,FREE,CROWDED,BROAD,PURPLE,TAPERING,BULBOUS,SMOOTH,SMOOTH,PINK,PINK,PARTIAL,WHITE,ONE,PENDANT,BLACK,SOLITARY,WOODS
83,83,EDIBLE,CONVEX,FIBROUS,BROWN,BRUISES,NONE,FREE,CLOSE,BROAD,BROWN,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SEVERAL,WOODS
96,96,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
98,98,EDIBLE,BELL,SCALY,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
99,99,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
101,101,EDIBLE,CONVEX,SCALY,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,GRASSES
102,102,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
103,103,EDIBLE,BELL,SCALY,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
104,104,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
106,106,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
107,107,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
108,108,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
110,110,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
115,115,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,GRASSES
116,116,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
118,118,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
119,119,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
120,120,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,GRASSES
122,122,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
123,123,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
124,124,EDIBLE,CONVEX,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
125,125,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,GRASSES
126,126,EDIBLE,BELL,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
128,128,EDIBLE,CONVEX,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,GRASSES
129,129,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
130,130,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
131,131,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
132,132,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
133,133,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,GRASSES
135,135,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
136,136,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
138,138,EDIBLE,BELL,SCALY,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
140,140,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
142,142,EDIBLE,CONVEX,SCALY,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
143,143,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
144,144,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
148,148,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
150,150,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
151,151,EDIBLE,CONVEX,SCALY,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
152,152,EDIBLE,CONVEX,SCALY,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
153,153,EDIBLE,BELL,SCALY,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
155,155,EDIBLE,CONVEX,SCALY,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
160,160,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
164,164,EDIBLE,BELL,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
167,167,EDIBLE,CONVEX,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
170,170,EDIBLE,BELL,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
171,171,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
174,174,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,GRASSES
176,176,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
178,178,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
179,179,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
181,181,EDIBLE,CONVEX,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
182,182,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,MEADOWS
184,184,EDIBLE,BELL,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
187,187,EDIBLE,CONVEX,SMOOTH,WHITE,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
188,188,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,GRAY,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,NUMEROUS,GRASSES
191,191,EDIBLE,CONVEX,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
192,192,EDIBLE,BELL,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,GRASSES
194,194,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,NUMEROUS,MEADOWS
195,195,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ANISE,FREE,CLOSE,BROAD,WHITE,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
196,196,EDIBLE,BELL,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
197,197,EDIBLE,BELL,SCALY,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,BROWN,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BROWN,SCATTERED,MEADOWS
201,201,EDIBLE,CONVEX,SMOOTH,YELLOW,BRUISES,ALMOND,FREE,CLOSE,BROAD,BLACK,ENLARGING,CLUB,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,PENDANT,BLACK,SCATTERED,MEADOWS
